,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,mean
generation_0,0.11657381057739258,0.2719559669494629,1.4892051219940186,2.427452325820923,5.7868711948394775,2.0184116840362547
generation_1,0.2541036605834961,0.2910919189453125,1.1359226703643799,2.1164896488189697,2.2255730628967285,1.2046361923217774
generation_2,0.1962428092956543,0.2982749938964844,0.7675521373748779,1.8744421005249023,2.1477086544036865,1.056844139099121
generation_3,0.28795361518859863,0.31989121437072754,0.9769213199615479,2.2721853256225586,1.8912222385406494,1.1496347427368163
generation_4,0.21878504753112793,0.3459153175354004,1.169921636581421,2.3387670516967773,2.38533878326416,1.2917455673217773
generation_5,0.22255301475524902,0.5625574588775635,1.0889885425567627,2.66316294670105,2.713547706604004,1.4501619338989258
