accumulation,production,density
25.072888888888883,58.63136853131833,1.8158139534883722
25.624777777777776,56.68186182458936,3.840652173913044
25.062444444444445,68.07704818059526,2.6485000000000007
25.698888888888888,60.21078432236521,3.9743749999999993
29.535999999999994,67.27980111895901,3.776736842105263
23.321111111111108,56.18957932213034,2.197464788732394
28.369999999999997,64.39346916620293,2.8975000000000004
15.710777777777775,61.52492113798546,2.871866666666667
26.56322222222222,57.587470039844156,4.213366336633663
22.782666666666664,52.57042376656755,3.0390697674418607
11.529888888888888,45.62905077804503,1.9790384615384615
20.78111111111111,50.739660941290275,1.9322619047619047
25.46366666666667,53.23437070540206,3.019032258064516
17.467666666666666,52.745341466682284,1.525735294117647
10.157555555555554,39.859081036378065,1.5639024390243903
25.151999999999997,66.25070831969177,3.2088235294117653
20.240444444444442,65.13367461460248,3.231212121212121
24.25155555555555,56.278348831300036,2.5765822784810126
21.687888888888885,58.61632693277665,2.3098571428571426
28.581888888888887,74.5739936509235,3.814352941176471
21.615999999999996,59.56038863040923,3.14948717948718
18.89633333333333,51.20570406058543,2.7005813953488373
23.701555555555554,62.06845235487949,2.7758695652173917
29.651666666666667,63.9523629901195,2.933118279569893
25.434777777777775,75.07025088906832,2.8897752808988764
20.852,50.12051421877966,2.407945205479452
24.98911111111111,63.467764955223515,2.6905952380952383
19.96922222222222,51.46711616009587,3.7053424657534246
28.115444444444442,72.84188290356256,4.027777777777778
26.105,61.090653064985474,3.949113924050633
12.978555555555557,45.32524553383885,3.286279069767442
2.625777777777777,34.05632355878121,3.908947368421053
19.27444444444444,52.3226902194586,3.7889230769230773
26.315222222222218,63.57234622542259,3.093037974683545
14.022888888888886,51.32900884797862,3.165689655172414
21.78022222222222,50.274787673736505,3.1465957446808512
29.97022222222222,62.24290215804751,3.269897959183673
24.214888888888886,62.76367744986141,2.7525806451612906
25.62544444444444,68.1566723795959,3.224
29.65277777777778,71.77857455812847,2.6265476190476194
22.10044444444444,45.25344131976093,3.8376237623762375
26.16388888888889,62.40107234641602,3.519879518072289
21.708666666666666,44.537531975735895,3.170769230769231
26.63211111111111,55.53170936846409,3.9578846153846152
24.24144444444444,58.82340403927856,2.529390243902439
26.266888888888886,58.681665220161356,2.0457843137254903
31.258444444444443,70.10524897552322,4.595833333333333
24.170222222222222,60.31035620616121,4.29469387755102
25.17786516853932,55.08295047129007,4.726
25.861333333333334,59.914695250148405,3.236309523809524
24.545888888888886,64.03869309115083,2.8144565217391304
21.683333333333334,58.96630608454445,2.914777777777778
30.744666666666664,57.30968093559616,2.9637383177570094
24.34655555555555,67.73785446889474,2.127439024390244
5.63411111111111,39.48022325958659,4.3790625
18.116555555555554,69.31444610922465,2.768928571428571
29.34044444444444,69.3251639256211,2.260194174757282
18.892444444444443,59.57250967281439,2.340967741935484
25.920333333333332,55.88629823480223,3.9137362637362636
21.190222222222218,62.33820806932676,2.274677419354839
19.63444444444444,52.684683759021,2.328588235294118
24.157555555555554,48.64803734541312,2.9162886597938145
21.94611111111111,53.567995156228214,2.188192771084337
12.99322222222222,54.0757311762898,3.168
26.39155555555555,50.05065844336089,3.4726732673267326
28.52422222222222,73.07598328113717,3.4413953488372098
28.46933333333333,62.22808310341961,3.5202
25.34233333333333,52.41905326156643,3.54873786407767
24.97555555555555,50.34361884181853,4.1922999999999995
24.942999999999998,47.35450134005744,3.0052380952380955
25.990222222222222,46.41074257847977,2.750761904761905
29.702666666666666,67.12585652937453,3.4273195876288662
15.755333333333331,52.64061900985427,2.2688059701492542
26.182888888888886,68.50965238637399,3.807037037037037
24.383888888888887,51.61739378698547,5.270375
24.878888888888888,56.77916947734834,4.321894736842106
20.048,56.080081782931835,4.553387096774194
24.82833333333333,47.43842887569956,3.5391089108910894
27.135444444444442,68.53044636687011,3.0108080808080815
24.839,68.91536336870229,3.1932500000000004
