accumulation,fitted_production
4.1965555555555545,20.207455021473525
4.864768799102132,23.116670064366883
5.532982042648708,25.944836845649032
6.2011952861952855,28.693286194871813
6.869408529741863,31.36334894158705
7.537621773288439,33.95635591534658
8.205835016835017,36.47363794570222
8.874048260381592,38.916525862205816
9.54226150392817,41.2863504944092
10.210474747474748,43.5844426718642
10.878687991021323,45.81213322412265
11.546901234567901,47.970752980736385
12.21511447811448,50.06163277125723
12.883327721661054,52.08610342523701
13.551540965207632,54.045495772227575
14.21975420875421,55.941140641780756
14.887967452300785,57.774368863448366
15.556180695847363,59.54651126678227
16.22439393939394,61.25889868133425
16.892607182940516,62.91286193665618
17.560820426487094,64.50973186229989
18.229033670033672,66.0508392878172
18.897246913580247,67.53751504275992
19.565460157126825,68.97108995667992
20.233673400673403,70.35289485912902
20.901886644219978,71.68426057965904
21.570099887766556,72.96651794782183
22.238313131313134,74.20099779316921
22.90652637485971,75.38903094525301
23.574739618406287,76.53194823362506
24.242952861952865,77.63108048783722
24.91116610549944,78.68775853744128
25.579379349046018,79.70331321198911
26.247592592592596,80.67907534103252
26.91580583613917,81.61637575412333
27.58401907968575,82.51654528081342
28.252232323232327,83.38091475065458
28.920445566778902,84.21081499319861
29.58865881032548,85.00757683799742
30.25687205387206,85.77253111460281
30.925085297418633,86.50700865256661
31.59329854096521,87.21234028144065
32.26151178451179,87.88985683077675
32.929725028058364,88.54088913012676
33.59793827160494,89.16676800904251
34.26615151515152,89.76882429707584
34.934364758698095,90.34838882377855
35.60257800224467,90.9067924187025
36.27079124579125,91.4453659113995
36.939004489337826,91.96544013142143
37.6072177328844,92.46834590832006
38.27543097643098,92.95541407164725
38.94364421997756,93.42797545095483
39.61185746352413,93.88736087579467
40.28007070707071,94.33490117571853
40.94828395061729,94.7719271802783
41.61649719416386,95.19976971902577
42.284710437710444,95.61975962151281
42.95292368125702,96.03322771729123
43.621136924803594,96.44150483591284
44.289350168350175,96.84592180692952
44.95756341189675,97.24780945989309
45.625776655443325,97.64849862435534
46.293989898989906,98.04932012986816
46.96220314253648,98.45160480598335
47.630416386083056,98.85668348225276
48.29862962962964,99.26588698822819
48.96684287317621,99.68054615346152
49.63505611672279,100.10199180750452
50.30326936026937,100.53155477990907
50.97148260381594,100.97056590022696
51.63969584736252,101.42035599801011
52.3079090909091,101.88225590281027
52.976122334455674,102.35759644417928
53.64433557800225,102.84770845166899
54.31254882154883,103.35392275483122
54.980762065095405,103.87757018321783
55.64897530864198,104.41998156638063
56.31718855218856,104.98248773387145
56.985401795735136,105.56641951524206
57.65361503928171,106.1731077400444
58.32182828282829,106.80388323783029
58.99004152637487,107.46007683815152
59.65825476992144,108.14301937055994
60.32646801346802,108.85404166460738
60.9946812570146,109.59447454984564
61.66289450056117,110.36564885582659
62.331107744107754,111.16889541210209
62.99932098765433,112.00554504822384
63.667534231200904,112.87692859374381
64.33574747474748,113.78437687821379
65.00396071829405,114.72922073118568
65.67217396184063,115.71279098221113
66.34038720538722,116.73641846084215
67.00860044893379,117.8014339966305
67.67681369248037,118.90916841912801
68.34502693602694,120.06095255788651
69.01324017957351,121.25811724245787
69.68145342312009,122.5019933023938
70.34966666666666,123.79391156724634
