転出ゾーン,移動総数,市外,市内総数,番町,東雲,八坂,素鵞,雄郡,新玉,味酒,清水,桑原,道後,味生,生石,垣生,宮前,三津浜,高浜,久枝,潮見,和気,堀江,余土,由良,泊,久米,湯山,日浦,伊台,五明,小野,浮穴,石井,荏原,坂本,浅海,立岩,難波,正岡,北条,河野,粟井,睦野,東中島,西中島,神和
番町,388,154,234,27,17,14,21,33,15,9,9,3,23,1,1,2,9,2,,6,3,,,2,1,,8,,,,,5,,21,,,,,,,1,1,,,,,
東雲,898,430,468,14,98,31,37,20,11,23,39,23,73,8,4,1,,4,6,5,3,,3,18,,,8,,,3,,4,1,24,1,,,1,,2,2,,1,,,,
八坂,494,205,289,17,15,44,34,15,6,13,11,24,30,4,4,4,3,1,4,6,3,2,4,5,,,7,3,,,,,2,23,,1,,,,,,3,1,,,,
素鵞,1870,642,1228,22,28,25,331,74,14,32,31,114,36,48,7,11,12,,4,16,6,4,13,36,1,,79,22,1,6,,19,31,173,13,,,1,1,3,8,3,1,,2,,
雄郡,3163,1335,1828,16,29,15,87,623,96,49,37,56,53,85,32,63,18,6,8,49,12,12,18,141,,,39,16,,1,1,23,4,197,15,,2,,2,,7,10,2,,4,,
新玉,1138,486,652,5,8,5,14,92,136,67,43,18,21,71,8,2,5,3,3,24,8,2,6,24,,,15,2,,1,1,3,2,49,2,1,,,1,2,3,,3,,2,,
味酒,1891,827,1064,1,17,10,38,79,63,254,111,31,35,44,17,3,23,11,26,78,10,12,9,25,3,3,42,11,,1,,12,10,54,4,,,1,4,2,9,9,,,2,,
清水,2381,1024,1357,11,29,22,50,76,41,102,408,56,81,52,27,7,17,4,9,61,52,32,29,34,,,30,6,,4,1,7,4,79,6,,1,,1,,7,3,6,,2,,
桑原,2015,739,1276,7,12,16,85,37,13,22,25,461,81,27,22,9,7,3,2,19,3,17,9,24,,,111,36,,3,,44,14,139,17,,,,3,,,1,7,,,,
道後,2248,1021,1227,7,37,22,59,55,19,46,75,89,494,15,8,9,15,1,7,22,14,8,19,8,,,33,37,,10,8,18,10,58,5,1,,,4,2,2,2,7,,1,,
