転出ゾーン,移動総数,市外,市内総数,番町,東雲,八坂,素鵞,雄郡,新玉,味酒,清水,桑原,道後,味生,生石,垣生,宮前,三津浜,高浜,久枝,潮見,和気,堀江,余土,由良,泊,久米,湯山,日浦,伊台,五明,小野,浮穴,石井,荏原,坂本,浅海,立岩,難波,正岡,北条,河野,粟井,睦野,東中島,西中島,神和
番町,339,173,166,20,14,20,15,19,3,8,8,7,13,3,1,,,1,,3,,2,1,6,,1,2,2,,,,2,,12,,,,,1,,2,,,,,,
東雲,791,366,425,6,76,14,17,30,11,17,43,28,74,1,4,,3,1,2,9,4,1,6,5,,,19,2,,,,4,2,38,2,,,1,,,3,1,,,1,,
八坂,528,193,335,15,31,41,30,34,6,16,20,22,27,7,7,2,1,1,3,5,1,2,3,9,,,10,1,1,1,,2,2,30,1,1,,,1,1,1,,,,,,
素鵞,1850,589,1261,7,11,19,357,74,26,36,33,131,62,24,18,7,9,1,5,22,13,14,9,48,1,,77,10,,2,,9,21,191,6,2,2,1,1,,7,,5,,,,
雄郡,3080,1204,1876,18,28,15,76,617,97,48,70,54,79,101,88,35,18,6,7,42,30,19,6,129,,,41,13,,7,,20,8,169,13,1,,1,2,2,7,5,1,,1,1,1
新玉,1213,463,750,11,10,3,19,99,140,75,48,18,29,60,20,6,8,4,4,13,11,10,7,28,,,17,8,,4,,5,6,55,11,,,1,4,1,4,4,,3,3,,1
味酒,2088,999,1089,8,20,9,42,87,69,234,136,25,52,43,28,6,22,6,4,91,9,7,8,25,,,32,4,,7,2,10,5,69,7,,,,,1,12,6,2,,1,,
清水,2432,964,1468,9,28,18,37,80,33,123,439,51,103,49,26,10,21,5,11,132,35,32,37,28,,,25,4,,8,,11,6,77,5,,,,,,9,1,13,,1,,1
桑原,1959,706,1253,6,19,20,85,44,11,17,37,496,99,26,12,5,1,,,12,16,3,5,18,,,130,27,,5,,27,11,104,6,4,1,,1,,1,1,3,,,,
道後,2156,959,1197,26,42,4,43,44,21,28,64,86,508,22,9,3,5,,4,18,11,10,14,18,,1,39,47,,6,4,17,4,75,5,1,5,1,1,,5,1,3,,2,,
味生,1982,627,1355,,10,4,34,94,36,61,33,28,31,438,104,21,49,29,26,56,11,34,29,48,,,34,15,,4,1,15,2,86,3,1,,,2,,3,5,7,,,1,
生石,1231,433,798,1,9,,11,74,26,16,10,20,7,117,242,60,13,2,2,17,8,7,3,64,,,18,4,,4,1,3,,49,1,1,,,2,1,1,2,1,,1,,
垣生,663,231,432,2,,3,8,32,4,4,8,11,7,27,27,164,8,4,5,6,9,,1,37,,,4,1,,,,3,2,41,9,,,,,3,1,,,,1,,
宮前,791,277,514,,3,,4,14,4,23,16,9,13,69,5,8,145,41,35,33,9,10,13,9,,,12,4,,1,,5,1,10,,,,1,,,4,8,5,,,,
三津浜,367,134,233,,4,1,4,2,1,12,11,2,6,26,2,3,66,33,2,19,7,3,9,3,2,,,2,,,,,1,7,,,,,3,,,,1,,1,,
高浜,373,120,253,1,3,,3,9,5,12,8,2,12,27,7,1,21,9,72,12,3,8,5,3,,,5,,,,,5,,8,1,2,,,,2,4,,,2,1,,
久枝,1642,544,1098,3,3,2,13,77,11,35,107,24,31,53,18,13,38,6,19,383,70,46,45,17,,2,14,,,6,,3,6,27,2,,2,,,4,1,4,12,,1,,
潮見,863,278,585,3,5,1,10,16,6,21,63,22,20,17,13,3,,4,11,72,167,27,28,8,,,7,1,,,,5,2,25,1,,2,,1,3,15,,6,,,,
和気,701,260,441,,8,7,9,15,3,15,15,8,13,12,7,5,6,1,1,44,12,164,48,10,,,5,3,,2,1,,2,12,4,,,,,1,4,1,3,,,,
堀江,633,204,429,4,3,3,6,9,1,12,26,17,5,14,6,2,11,1,6,30,25,33,142,1,,,5,5,,4,,2,6,21,,,,,,1,16,7,5,,,,
余土,1818,662,1156,6,10,10,23,127,18,17,27,22,14,43,60,54,9,,5,24,12,15,7,412,,1,27,2,,6,,5,14,166,8,,1,,,1,5,2,3,,,,
由良,13,3,10,,,,1,,,2,3,,,1,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,
泊,12,2,10,,,,1,,,,1,,,,,,,,1,3,,,,,,1,,1,,,,,,2,,,,,,,,,,,,,
久米,2344,826,1518,9,12,10,72,45,7,25,27,135,75,32,7,3,2,1,2,13,6,5,15,36,1,,565,19,,8,2,129,40,171,28,6,,,3,,1,,3,,2,1,
湯山,372,148,224,,2,1,10,6,6,4,12,48,24,3,4,,4,1,1,2,1,,2,7,,1,14,51,,1,,2,1,10,,,,,1,,4,,1,,,,
日浦,16,4,12,,,,,,,,,1,2,,,,,,,,1,,,3,,,,,3,,,,,2,,,,,,,,,,,,,
伊台,232,111,121,,9,1,10,2,6,8,8,4,17,5,1,,1,,,5,2,3,,2,,,1,5,,15,1,1,,11,,1,,,,,1,,,,1,,
五明,18,7,11,,,,,,,1,2,2,1,,,,,,,,,1,,,,,2,,,1,1,,,,,,,,,,,,,,,,
小野,1393,896,497,4,4,3,13,12,6,8,8,19,24,6,2,,,1,8,6,,3,9,14,,,83,6,,,,208,9,35,1,,,,,,3,1,1,,,,
浮穴,471,193,278,1,1,1,9,3,1,7,5,12,9,3,6,2,3,,,,3,5,1,19,,,12,1,,,,9,83,67,10,1,,,1,,,,2,,1,,
石井,4763,1714,3049,22,33,16,188,165,40,34,79,101,95,58,60,20,17,7,6,43,25,15,10,152,,1,165,22,,16,,65,95,1431,43,,,2,1,,5,10,4,,3,,
荏原,352,154,198,2,,2,8,8,5,4,2,5,6,4,1,3,,,,1,,4,,2,,,16,,,,,7,14,16,85,3,,,,,,,,,,,
坂本,59,20,39,,,,1,2,1,,1,1,,1,,,,,1,,,,,,,,9,,,,,,3,9,10,,,,,,,,,,,,
浅海,38,13,25,1,,,,1,,,,,2,1,,,,,,4,4,,1,,,,,,,,,,,,,,3,1,,,3,4,,,,,
立岩,40,19,21,,,3,,,,,1,,5,,,,,,,,,,1,,,,1,,,,,,,,,,,1,2,,5,,2,,,,
難波,92,34,58,,,,2,2,4,,1,,2,,3,1,,,,,2,6,3,,,,1,,,,,,2,4,,,,,9,1,10,5,,,,,
正岡,82,18,64,1,,,2,,2,2,4,,1,2,4,,4,,,7,4,8,3,1,,,,,,,,,1,2,1,,,1,1,1,7,1,4,,,,
北条,529,159,370,,1,,5,7,5,4,16,17,4,3,5,,8,,4,5,8,17,11,3,,,6,,,1,,3,2,11,,,1,,12,7,151,30,23,,,,
河野,258,93,165,1,1,1,3,7,2,1,8,2,7,9,5,,5,,1,4,4,6,4,,,,,1,,,,1,1,4,,,,2,2,5,18,54,6,,,,
粟井,301,107,194,,1,,3,12,6,3,10,4,5,2,3,1,2,3,2,3,1,14,16,2,,,2,,,,,1,1,6,,2,2,1,,2,12,9,63,,,,
睦野,7,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
東中島,83,21,62,,,,,,3,6,2,1,1,3,1,,4,,,8,1,,,2,,,1,,,,,,1,4,,,,,,,,,,,21,2,1
西中島,17,2,15,,,,,1,,2,,1,,2,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,3,2,
神和,14,4,10,,,,2,,,,,,,,1,,3,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,
