転出ゾーン,移動総数,市外,市内総数,番町,東雲,八坂,素鵞,雄郡,新玉,味酒,清水,桑原,道後,味生,生石,垣生,宮前,三津浜,高浜,久枝,潮見,和気,堀江,余土,由良,泊,久米,湯山,日浦,伊台,五明,小野,浮穴,石井,荏原,坂本,浅海,立岩,難波,正岡,北条,河野,粟井,睦野,東中島,西中島,神和
番町,393,177,216,60,14,6,19,33,7,9,5,11,6,6,3,,,,,5,1,1,,3,,,11,4,,,,1,1,7,1,,,,,,1,1,,,,,
東雲,969,498,471,22,101,19,39,33,9,16,31,12,80,9,2,11,8,1,3,2,,2,,9,,,21,1,1,1,,1,2,27,1,,,,,,,4,2,,1,,
八坂,501,182,319,20,16,46,39,22,9,7,13,12,20,3,1,3,3,,1,13,,1,4,3,,,17,,,5,,2,4,48,2,1,,,,1,3,,,,,,
素鵞,1970,652,1318,15,23,32,398,65,24,48,31,114,35,25,14,11,8,3,2,19,3,7,10,32,,,87,18,,10,1,30,11,217,16,,,,3,,3,2,1,,,,
雄郡,3246,1307,1939,24,26,21,76,600,94,74,48,40,55,125,97,32,10,6,8,45,12,16,8,146,,,54,4,4,3,1,10,18,237,22,,4,1,2,,7,5,3,,1,,
新玉,1249,501,748,14,14,6,23,65,178,68,32,14,38,72,21,8,4,4,,29,4,4,2,30,,,13,8,,2,,8,12,57,1,,1,,3,2,,6,4,,1,,
味酒,1928,862,1066,6,19,12,24,99,59,322,113,34,35,61,22,15,15,8,12,48,23,13,9,20,,,9,4,,1,1,10,4,48,4,,,4,,2,2,,4,1,2,1,
清水,2403,1031,1372,6,35,11,49,46,38,121,456,31,84,32,17,6,30,9,2,102,58,11,30,23,,,29,10,,19,,12,9,69,5,,,2,4,1,3,6,6,,,,
桑原,2147,736,1411,12,20,21,106,41,17,32,34,503,103,17,9,13,18,5,1,29,7,12,3,28,1,,133,40,,14,,19,8,135,10,5,,1,1,,3,2,3,,1,4,
道後,2269,1098,1171,17,43,19,62,48,17,38,77,100,441,12,13,13,8,2,6,15,11,10,8,18,,,38,30,,7,,14,5,58,11,,,,2,4,9,3,5,,5,,2
味生,1997,649,1348,5,6,4,30,71,49,50,19,23,14,499,133,34,63,13,24,47,13,22,16,46,1,1,29,3,,15,3,11,3,84,1,,,,,,7,5,2,,,2,
生石,1355,453,902,3,7,2,17,70,14,15,21,8,6,94,306,54,19,4,4,24,,16,11,77,,,31,15,,1,1,15,3,44,5,,,1,2,4,4,1,2,,1,,
垣生,787,258,529,4,2,3,12,30,8,11,11,11,7,33,30,206,6,5,1,12,9,5,4,64,,,5,1,,,,7,7,31,3,,,,,,,1,,,,,
宮前,886,376,510,10,6,1,4,14,6,29,28,8,3,52,9,4,143,39,20,33,7,8,6,17,,1,9,1,,,,3,,28,7,,1,,1,,1,8,,,2,,1
三津浜,416,184,232,,2,,12,7,3,6,20,11,2,19,12,2,36,42,12,4,2,13,1,4,1,,1,,,,,2,2,8,5,,,1,,,1,,,,1,,
高浜,398,117,281,,3,1,7,9,6,10,10,5,5,21,4,9,39,21,71,7,2,6,15,5,,,5,4,,,,2,,8,,,,,,,,4,2,,,,
久枝,1611,464,1147,13,5,4,22,30,16,38,79,34,30,61,10,4,58,6,12,412,42,41,57,26,,1,19,6,,6,,23,4,40,4,,,,,1,19,12,10,1,1,,
潮見,1005,335,670,8,4,4,5,14,7,13,41,25,25,13,12,3,19,1,8,76,194,29,43,21,,,10,4,,3,,4,1,26,2,,5,,,1,26,9,14,,,,
和気,744,240,504,4,4,,12,17,10,10,18,7,18,27,8,4,22,1,9,40,18,149,45,10,,,4,4,,6,,2,1,20,2,,,,3,1,9,5,13,,,,1
堀江,690,230,460,2,2,2,8,7,11,22,32,2,10,9,7,9,2,,,20,18,40,153,5,,,8,3,,10,,8,2,24,6,,,,,4,14,8,12,,,,
余土,1891,699,1192,7,7,10,21,90,19,11,33,13,18,60,59,63,17,4,1,14,5,5,11,489,,,27,,,1,,5,11,182,4,,,,,,2,3,,,,,
由良,23,8,15,,,,,,,,1,,,,,,1,,,,,,,,9,3,,,,,,,,1,,,,,,,,,,,,,
泊,11,3,8,,,,,,,1,,,,,,,,,,,,,,,3,3,,,,,,,,1,,,,,,,,,,,,,
久米,2555,1000,1555,12,12,10,63,61,27,29,41,132,31,11,21,12,5,4,4,12,15,5,5,10,,2,636,5,1,16,,116,38,191,18,3,,,,,2,,2,,3,,
湯山,431,170,261,,2,1,18,5,14,3,7,23,28,7,2,2,6,,,2,3,7,2,11,,,8,71,1,14,1,4,5,11,1,,,1,,,1,,,,,,
日浦,10,2,8,,,,,,1,,,,,,,,,,,,,1,,,,,,4,,,,2,,,,,,,,,,,,,,,
伊台,245,99,146,1,,1,13,12,2,6,10,8,20,5,2,,1,2,4,7,3,,3,2,,,4,9,,14,,,,9,2,1,2,,,,3,,,,,,
五明,17,5,12,,,,1,,,,1,1,3,,,,,,,1,,,,,,,,,,,2,,,1,1,,,,,1,,,,,,,
小野,1321,840,481,2,9,5,18,15,6,9,8,18,9,6,7,1,1,3,,3,4,3,6,5,,,59,9,,2,,215,8,38,6,1,,,1,,2,1,,,1,,
浮穴,578,218,360,5,3,3,12,14,7,10,5,7,2,4,5,7,2,,1,6,,,3,4,,,26,1,1,,,10,98,90,25,5,,,,,1,3,,,,,
石井,5354,1852,3502,21,32,27,172,163,46,53,79,161,81,68,39,57,24,8,5,39,13,24,19,164,,,186,24,2,13,,61,85,1769,33,2,2,,1,3,13,9,3,,1,,
荏原,363,159,204,,5,1,10,12,1,4,7,10,7,4,1,1,1,1,1,1,,,1,6,,,24,,,,,4,12,23,62,5,,,,,,,,,,,
坂本,70,36,34,,1,,3,1,,,,1,1,1,,1,,,,,1,,,2,,,3,,,,,1,1,5,6,6,,,,,,,,,,,
浅海,41,13,28,,,,,,1,3,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,9,,1,,3,,8,,,,
立岩,19,6,13,,,,,,,2,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,4,2,,,,,
難波,134,50,84,,2,,1,1,4,2,7,,1,,1,,1,,,8,2,3,2,1,,,,1,,,,,2,1,1,,,7,11,,21,1,3,,,,
正岡,83,30,53,,,1,,,,,10,,,1,,1,,,1,1,,6,3,,,,1,1,,,,,1,,1,,,,1,11,9,,4,,,,
北条,409,134,275,,6,1,5,10,3,6,13,,6,5,2,,3,2,,11,5,5,6,10,,,8,,,,,2,1,6,5,,,2,4,9,109,8,21,,1,,
河野,206,65,141,5,,1,3,2,1,7,2,3,1,4,6,,4,,2,5,1,2,3,,,,1,,,,,1,,1,,,,1,4,8,15,40,18,,,,
粟井,333,116,217,,4,1,2,4,2,4,14,5,7,10,1,4,5,,5,8,6,7,16,2,,,4,,,5,,1,,7,,,2,,4,5,8,13,61,,,,
睦野,4,1,3,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
東中島,71,19,52,,,,3,,1,1,2,3,1,6,1,,4,,1,1,1,,,,,,4,,,,,,,3,,,,,,,,,,,17,1,2
西中島,14,2,12,,,,,,,1,,,,2,,,1,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,3,2,
神和,26,5,21,,,,,2,,2,1,,2,,,,4,1,,,1,,,,,,1,,,,,1,,2,,,,,,,,,,,3,,1
