転出ゾーン,移動総数,市外,市内総数,番町,東雲,八坂,素鵞,雄郡,新玉,味酒,清水,桑原,道後,味生,生石,垣生,宮前,三津浜,高浜,久枝,潮見,和気,堀江,余土,由良,泊,久米,湯山,日浦,伊台,五明,小野,浮穴,石井,荏原,坂本,浅海,立岩,難波,正岡,北条,河野,粟井,睦野,東中島,西中島,神和
番町,458,183,275,72,28,21,12,24,8,11,15,11,15,5,2,2,,1,,,,1,,4,,,6,,,5,2,1,,29,,,,,,,,,,,,,
東雲,901,410,491,11,122,24,36,26,20,12,43,20,56,10,8,5,7,1,2,9,3,1,1,7,,,10,2,,,,3,10,37,1,,,,,,1,1,2,,,,
八坂,527,198,329,13,28,56,38,25,4,19,6,19,30,9,7,,3,,1,8,,3,2,5,,,5,1,,,,5,1,31,5,,,,,,,3,2,,,,
素鵞,2036,660,1376,18,19,28,395,71,28,38,27,138,54,27,18,3,14,5,6,17,14,9,5,38,,,84,17,,12,1,22,17,228,4,2,,,3,4,2,1,5,,1,,1
雄郡,3151,1246,1905,48,25,30,57,656,82,58,73,53,49,121,86,31,26,9,5,32,19,8,11,123,,,45,10,,15,,10,22,163,9,,4,1,1,,8,3,6,,4,2,
新玉,1289,528,761,14,13,13,19,118,145,79,19,20,21,72,28,10,10,1,2,12,6,,9,22,1,2,11,5,,,,7,3,83,2,,,,,,11,,2,,1,,
味酒,2073,953,1120,31,30,3,39,70,62,319,135,15,32,47,25,9,29,11,6,67,16,11,8,12,,,27,12,,4,,7,4,61,10,,1,1,,,6,6,4,,,,
清水,2561,1148,1413,14,42,15,46,88,46,140,385,46,94,58,22,10,22,4,4,90,68,24,26,32,,,25,7,,11,1,11,,63,2,1,2,1,1,,7,1,1,,3,,
桑原,2139,783,1356,6,33,24,92,48,7,33,43,498,78,30,20,10,6,3,5,22,8,3,8,22,,,127,30,1,20,,35,12,108,3,5,,1,,3,4,,8,,,,
道後,2306,1134,1172,19,63,31,51,31,13,47,83,107,417,13,6,2,8,3,4,22,9,14,17,22,,,37,33,,35,1,11,3,52,6,,1,1,,,5,3,1,,1,,
味生,1898,603,1295,16,4,9,23,74,42,76,26,27,22,516,82,36,65,13,21,23,7,18,20,35,,1,31,6,,4,,4,8,64,,1,2,,,2,7,4,5,,,,1
生石,1310,471,839,10,6,,23,58,19,19,12,27,9,79,301,60,12,11,7,7,12,11,12,45,,,24,2,,,,1,5,50,3,,,,,,5,7,1,,1,,
垣生,694,277,417,6,1,2,5,19,5,8,6,5,12,29,51,141,2,2,9,6,,6,4,43,,,5,1,,8,,4,2,31,2,,2,,,,,,,,,,
宮前,926,388,538,2,8,4,12,21,11,25,36,2,7,45,18,11,151,20,28,32,5,11,9,17,1,1,7,6,,3,,5,,25,,,,,,,4,3,6,,2,,
三津浜,406,156,250,3,3,2,4,5,4,15,11,4,3,45,10,3,31,41,12,12,3,13,1,8,,,2,,,2,,3,,8,,,,,,,,,,,1,,1
高浜,391,121,270,1,1,5,10,6,8,8,12,10,11,21,11,,30,16,66,14,8,3,2,7,1,,5,2,,,,,1,4,2,,,,,,2,3,,,,,
久枝,1613,507,1106,,17,8,31,24,25,39,81,32,24,33,14,15,29,2,8,413,80,54,39,14,,,14,15,,7,,7,7,24,5,,,,4,,24,7,9,,1,,
潮見,934,262,672,,8,1,16,12,14,23,56,9,11,24,16,4,18,6,10,78,196,22,37,12,,,4,4,,21,,5,2,19,3,,,,5,,27,1,7,,1,,
和気,659,186,473,2,1,2,7,10,2,17,22,8,15,16,9,1,19,1,5,43,24,159,29,9,,,5,4,,4,,,2,20,2,,3,,,1,15,7,7,,,1,1
堀江,667,182,485,1,1,2,7,8,4,17,18,5,10,9,3,1,8,,1,36,27,46,182,10,,,11,1,1,7,,2,4,17,3,,,1,3,1,14,10,14,,,,
余土,1749,644,1105,14,10,5,32,99,18,23,29,34,9,57,53,59,8,3,10,18,4,4,6,413,,,25,3,,5,,6,7,136,4,,,,1,,9,,1,,,,
由良,33,8,25,,,,,1,1,,1,,,2,,1,4,,,1,,,,,10,,,,,,,,,2,1,,,,,,,,1,,,,
泊,20,4,16,,,1,,2,,,,5,,1,,,,,,,,1,,,,3,1,,,,,,,1,,,,,,,1,,,,,,
久米,2435,867,1568,10,21,16,60,48,29,19,34,91,46,29,18,9,4,3,4,27,7,14,13,21,,,653,5,,10,,112,33,195,22,3,,,,1,3,1,4,,3,,
湯山,443,190,253,5,1,1,10,10,2,7,3,29,18,1,7,1,2,,,10,3,3,,9,,,29,64,,7,,8,1,14,2,,,,,,2,2,2,,,,
日浦,4,2,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伊台,275,100,175,1,1,3,7,6,1,3,6,5,27,6,3,1,3,,4,6,15,3,7,2,,,6,9,2,23,,9,,9,1,3,,,,,1,1,1,,,,
五明,14,6,8,,,,,4,,,,1,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
小野,1046,518,528,3,8,5,19,11,3,7,13,24,18,13,15,3,4,3,,5,2,4,1,13,1,,83,5,,1,,198,8,36,12,,,,,6,,1,3,,,,
浮穴,593,239,354,3,1,3,9,12,8,,3,9,3,8,,,4,,2,6,3,6,2,6,,,37,3,,1,,5,128,72,11,3,,,1,1,,1,,,2,1,
石井,5344,1872,3472,28,24,26,178,152,36,52,58,155,56,85,58,44,22,8,10,51,19,24,22,155,,1,236,16,,7,2,54,107,1699,55,7,,1,4,,4,4,9,,2,1,
荏原,386,194,192,1,3,3,8,9,2,,3,6,9,2,5,1,1,4,1,3,1,2,1,1,,,20,6,,,,6,7,13,74,,,,,,,,,,,,
坂本,70,31,39,,,,4,3,1,,,1,,,1,,,,,2,,,,,,,1,,,,,1,3,8,7,7,,,,,,,,,,,
浅海,46,14,32,,,,,1,2,,1,2,,1,1,,,,,1,,1,2,,,,,,,,,,,1,,,4,,1,,10,,1,,3,,
立岩,18,10,8,,,,,,,1,,1,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,
難波,132,55,77,,1,,4,4,,2,5,1,3,3,2,1,,,,2,2,,3,2,,,,,,,,,,3,1,,,,8,5,19,1,5,,,,
正岡,85,24,61,,2,1,,5,1,1,3,,2,,1,,,3,2,,3,2,3,,,,1,,,,,,,,,,,,2,9,14,1,5,,,,
北条,461,165,296,3,3,1,6,6,2,6,5,7,7,9,1,3,3,1,2,11,5,6,19,1,,,6,5,,2,,2,1,8,5,,,3,9,9,101,19,19,,,,
河野,265,63,202,,5,,8,2,5,8,13,1,2,3,1,,4,2,,20,7,17,12,,,,3,2,,,,,,8,,,,2,1,5,6,50,15,,,,
粟井,281,86,195,,1,4,5,4,7,4,6,6,4,2,4,2,3,,1,10,8,12,3,3,,,3,1,,,1,2,1,4,,,,,7,2,15,11,59,,,,
睦野,7,2,5,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,
東中島,84,17,67,,1,,1,2,1,3,6,,2,2,,,4,1,,,,,1,2,,,,,,,,1,,2,,,,,,,1,,,1,31,5,
西中島,32,15,17,,,,1,,1,,1,4,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,5,
神和,32,2,30,,,,3,,,,2,,,,2,1,6,2,,1,,2,,,,,4,,,,,,,1,,,,,,,,,,,5,,1
