転出ゾーン,移動総数,市外,市内総数,番町,東雲,八坂,素鵞,雄郡,新玉,味酒,清水,桑原,道後,味生,生石,垣生,宮前,三津浜,高浜,久枝,潮見,和気,堀江,余土,由良,泊,久米,湯山,日浦,伊台,五明,小野,浮穴,石井,荏原,坂本,浅海,立岩,難波,正岡,北条,河野,粟井,睦野,東中島,西中島,神和
番町,484,163,321,63,32,18,28,25,16,13,20,14,19,4,1,1,,1,,1,4,,,5,,,12,2,,7,,1,,29,,,,,,1,1,,3,,,,
東雲,940,456,484,16,136,30,29,17,15,23,27,26,40,12,5,1,7,,,14,2,3,3,5,,1,11,2,,3,,2,1,44,4,,,,2,,1,1,,,1,,
八坂,464,148,316,8,17,49,27,37,12,12,5,32,26,6,3,1,4,,3,6,4,2,1,10,,,17,2,,1,,2,2,19,2,1,,3,,,,,2,,,,
素鵞,1914,611,1303,5,30,19,365,82,21,32,28,126,41,34,19,14,3,3,11,26,9,4,10,38,,,92,20,,9,,17,19,183,16,,,1,2,3,16,,2,1,1,,1
雄郡,3161,1292,1869,19,29,11,79,611,86,74,53,55,26,114,104,39,10,4,6,33,11,30,9,139,,,48,9,,14,1,14,6,203,9,,,1,2,1,12,2,2,,,2,1
新玉,1363,495,868,7,21,19,26,121,220,90,27,12,17,57,22,7,11,4,,14,11,23,5,43,,,25,7,,8,1,5,3,48,6,,,,,3,2,1,1,,,,1
味酒,2168,949,1219,4,22,10,39,89,102,324,128,22,47,65,46,7,19,10,7,50,17,17,19,41,2,,23,9,,8,,9,9,53,4,1,2,1,,1,3,3,2,,4,,
清水,2458,1080,1378,7,37,12,52,85,39,131,400,49,67,50,16,19,21,7,7,94,44,29,16,28,1,,30,9,,12,1,14,7,48,6,1,,,4,3,10,6,11,,5,,
桑原,2153,787,1366,9,29,18,94,45,16,25,32,567,47,20,18,6,3,3,4,11,2,8,2,28,,,136,34,,16,,39,15,109,10,1,,,,1,6,4,5,,2,,1
道後,2418,1154,1264,10,44,27,57,29,20,70,87,124,475,14,9,3,7,9,6,34,11,15,15,16,,,43,37,1,13,2,10,2,59,2,,,,,,5,1,7,,,,
