転出ゾーン,移動総数,市外,市内総数,番町,東雲,八坂,素鵞,雄郡,新玉,味酒,清水,桑原,道後,味生,生石,垣生,宮前,三津浜,高浜,久枝,潮見,和気,堀江,余土,由良,泊,久米,湯山,日浦,伊台,五明,小野,浮穴,石井,荏原,坂本,浅海,立岩,難波,正岡,北条,河野,粟井,睦野,東中島,西中島,神和
味生,2051,680,1371,4,15,7,13,81,46,57,37,26,14,464,103,39,83,34,12,29,13,23,34,43,,1,29,8,,8,,7,8,92,7,,1,1,1,2,11,7,6,1,3,1,
生石,1279,436,843,5,9,,16,36,23,11,21,21,8,66,344,57,31,8,6,17,12,10,9,49,,1,14,,,1,,5,4,38,2,5,,,,4,6,,2,,1,1,
垣生,708,261,447,,3,4,9,24,11,5,22,10,3,10,42,173,10,3,1,8,4,4,1,32,,,6,1,,4,,2,,26,3,,,,,5,2,18,1,,,,
宮前,923,343,580,2,1,3,8,16,10,20,16,13,15,55,8,13,183,40,26,65,9,5,6,8,,1,13,,,,,6,3,18,1,,,,2,,5,4,5,,,,
三津浜,444,176,268,1,1,,2,8,5,10,8,5,6,26,5,5,55,47,10,5,9,8,1,7,,,5,2,,,,1,1,23,1,,,,1,,2,,5,,3,,
高浜,378,122,256,,1,4,7,6,11,7,7,2,4,15,7,2,29,6,77,13,4,20,1,1,,,3,,,,,,1,12,2,,,1,,1,,4,8,,,,
久枝,1640,569,1071,,7,12,24,43,17,33,76,49,34,37,18,4,37,2,17,350,51,75,41,17,1,,15,8,,7,,2,16,41,3,1,,,5,4,13,,9,,1,,1
潮見,840,263,577,3,9,1,6,24,15,15,30,16,13,17,10,11,11,,1,68,135,30,51,13,,,20,2,,11,,6,1,19,,,,,1,,12,2,24,,,,
和気,685,187,498,1,2,1,6,19,19,15,17,4,10,11,11,1,5,15,3,54,30,154,40,3,,,7,13,,5,,4,1,16,1,,,4,2,2,8,7,6,,,1,
堀江,673,222,451,,,,3,12,12,20,33,5,5,10,4,1,4,4,6,35,22,51,147,4,,,6,2,,,,5,3,13,1,,,2,,1,11,19,9,,1,,
余土,1833,708,1125,,8,5,32,108,14,22,19,25,13,44,62,72,10,2,1,7,8,8,6,410,,,48,8,,11,,17,8,149,6,,,,,,1,,1,,,,
由良,16,3,13,,,,,3,,1,,,,,,,1,,2,,,,1,1,3,1,,,,,,,,,,,,,,,,,,,,,
泊,15,10,5,,,,,1,,,,,,,,,,1,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
久米,2681,994,1687,9,9,6,74,58,25,15,25,180,30,32,24,13,9,1,5,19,4,4,4,30,,,715,14,,17,,110,27,184,29,4,,2,4,,3,,1,,1,,
湯山,429,173,256,4,6,1,7,11,3,5,5,16,29,2,4,2,3,,,11,5,9,3,2,,,10,74,1,6,,6,,21,4,,,1,,,1,,4,,,,
日浦,16,4,12,,,,,,,1,1,1,2,,,,2,,,,,,,1,,,1,1,,,,,,2,,,,,,,,,,,,,
伊台,288,100,188,5,4,,12,5,4,12,17,22,14,1,3,2,1,4,1,8,10,3,8,1,,,3,5,,20,7,,1,5,5,,,1,,1,,,3,,,,
五明,11,2,9,,,,,2,,,,1,,,,,,,,,,,,,,,,,,3,2,,,1,,,,,,,,,,,,,
小野,1415,823,592,1,8,12,16,17,11,5,10,49,18,8,11,1,5,2,,2,2,,3,14,,,84,,,,,244,9,42,15,1,1,,,,,,,,1,,
浮穴,538,220,318,4,3,3,9,18,8,8,5,10,12,5,8,7,1,,2,3,1,2,2,12,,,28,4,,,,3,76,66,13,1,1,,,1,,,2,,,,
石井,5163,1827,3336,10,38,20,164,189,51,50,59,134,65,57,50,36,8,6,4,42,15,18,14,193,,,223,34,,19,5,61,95,1605,42,7,,1,,,9,2,6,,3,1,
荏原,372,164,208,1,1,,5,7,1,5,6,10,4,5,1,3,,,,1,2,,3,5,,,24,,,,,6,23,22,61,9,,,2,,1,,,,,,
坂本,69,35,34,,,1,,,,1,,2,,1,3,,,,,,,2,,3,,,,1,,,,,,14,4,2,,,,,,,,,,,
浅海,49,13,36,,,,1,,1,2,1,,,2,1,1,3,,3,,,,1,1,,,1,,,,,,,1,,,8,,,,2,,7,,,,
立岩,37,5,32,,,,1,3,,,1,,1,,1,,,,,,,,1,,,,,,,,,2,,,1,,,8,,2,10,1,,,,,
難波,94,33,61,,1,,,1,,2,2,3,,1,1,,,,,4,,3,4,2,,,1,1,,,,,,1,1,,,,13,1,16,2,1,,,,
正岡,73,19,54,,1,,2,3,1,2,1,,,7,,,,,,2,2,2,1,,,,,,,,,,,,,,,1,1,15,9,3,1,,,,
北条,518,162,356,1,2,,5,6,6,10,16,5,9,5,7,2,2,2,4,11,8,10,20,8,,,7,1,,2,1,1,,10,1,,2,38,9,2,122,13,8,,,,
河野,252,80,172,,1,,2,4,1,11,8,6,4,6,3,,4,2,1,5,3,3,16,3,,,7,,,1,,,,4,1,,,,,3,11,56,5,,1,,
粟井,255,89,166,3,,,3,3,7,11,10,2,4,1,1,1,3,1,1,2,1,12,6,1,,,5,2,1,,,1,1,2,,,,,6,,16,15,44,,,,
睦野,11,1,10,,,,,2,,,,,1,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,
東中島,115,17,98,,1,,4,1,2,5,1,2,,1,5,,4,4,2,,1,,,2,,,3,1,,,,,,2,,,3,,,,1,,,1,46,5,1
西中島,39,5,34,,,,,,,,,3,,1,,,1,,,2,1,1,,1,,,,,,,,,,2,,,,,,,,,,,16,6,
神和,33,9,24,,1,,,,1,1,,,,,,,3,1,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,9,,5
