,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,mean
generation_0,0.11301803588867188,0.24395537376403809,0.4742710590362549,1.0225551128387451,1.3006131649017334,0.6308825492858887
generation_1,0.28864383697509766,0.26709914207458496,0.7545363903045654,0.773613691329956,1.3199825286865234,0.6807751178741455
generation_2,0.24236631393432617,0.46761178970336914,0.6426141262054443,0.8174972534179688,1.5129585266113281,0.7366096019744873
generation_3,0.26293087005615234,0.3371608257293701,0.713066816329956,0.7812173366546631,1.1948063373565674,0.6578364372253418
generation_4,0.41474294662475586,0.36152029037475586,0.7796194553375244,0.7890796661376953,1.3996870517730713,0.7489298820495606
generation_5,0.3082752227783203,0.3846888542175293,0.529975414276123,0.5974857807159424,1.0569767951965332,0.5754804134368896
generation_6,0.3071010112762451,0.3807218074798584,0.4991934299468994,1.243056058883667,0.955481767654419,0.6771108150482178
generation_7,0.4363560676574707,0.47890305519104004,0.7746155261993408,0.5053794384002686,1.1793317794799805,0.6749171733856201
generation_8,0.34790873527526855,0.49860167503356934,1.015449047088623,0.7421154975891113,0.9380877017974854,0.7084325313568115
generation_9,0.37044191360473633,0.532362699508667,2.1177680492401123,0.8351874351501465,0.7371022701263428,0.918572473526001
generation_10,0.5235106945037842,0.5434069633483887,2.4799461364746094,0.9758338928222656,0.745032548904419,1.0535460472106934
generation_11,0.5826711654663086,0.5774931907653809,4.162007093429565,1.3888459205627441,0.8676357269287109,1.515730619430542
generation_12,0.5415639877319336,0.566929817199707,10.928206443786621,1.512270450592041,0.9740047454833984,2.9045950889587404
generation_13,0.6214537620544434,0.7267084121704102,1.205176830291748,1.3857252597808838,0.89817214012146,0.9674472808837891
generation_14,0.8532953262329102,0.790508508682251,1.2126855850219727,1.3893852233886719,1.0356981754302979,1.0563145637512208
