cluster,coef1,coef2,coef3
0,53.703920459865984,-17.57797509101166,2.002953286446786
1,1.192892248500101,-0.005725660782898851,8.759081991159198e-06
2,5.695285352173861,-0.1553923430233802,0.0011816367256964888
3,3.1262334858598426,-0.06074596547294532,0.0004058829166900396
4,1.3258951920422501,-0.006190117967248915,1.1228935673201525e-05
5,3.9444030096666296,-0.053182143091996446,0.00027112378443008844
6,2.8148711610979036,-0.013974663046205097,2.0422424080488583e-05
7,1.2400286076778675,-0.00329561425123752,2.4330516969236875e-06
8,5.193740992121688,-0.03711772887102158,6.841338991800394e-05
9,3.0464238758487774,-0.04495348330361644,0.00024857748323831724
10,2.0801170538340723,-0.021061845297297804,7.601305197614885e-05
11,23.937690915272523,-3.0198917330701467,0.13506831952927012
12,4.325648312844191,-0.05023928957903402,0.0001598574151153026
13,26.218322737221282,-5.60352475886366,0.4200599404414138
14,2.1184164782534496,-0.008106945339533028,8.459158863518418e-06
15,1.6939373911177422,-0.01207629590113269,3.405154280577104e-05
