accumulation,fitted_production
0.0,0.0
56.395084270527214,663.4866565468162
112.79016854105443,1300.4157354833085
169.18525281158165,1911.1950134745339
225.58033708210885,2496.2322671855504
281.9754213526361,3055.935273281415
338.3705056231633,3590.711808427184
394.7655898936905,4100.969649287917
451.1606741642177,4587.11657252867
507.5557584347449,5049.560354814498
563.9508427052722,5488.7087728104625
620.3459269757993,5904.969603181619
676.7410112463266,6298.750622593023
733.1360955168537,6670.459607709735
789.531179787381,7020.504335196809
845.9262640579082,7349.2925817193045
902.3213483284354,7657.232123942279
958.7164325989627,7944.730738530789
1015.1115168694898,8212.196202149893
1071.506601140017,8460.036291464645
1127.9016854105444,8688.658783140105
1184.2967696810715,8898.47145384133
1240.6918539515987,9089.88208023338
1297.0869382221258,9263.298438981305
1353.4820224926532,9419.128306750168
1409.8771067631803,9557.779460205023
1466.2721910337075,9679.659676010935
1522.6672753042349,9785.176730832953
1579.062359574762,9874.738401336133
1635.4574438452892,9948.752464185543
1691.8525281158163,10007.62669604623
1748.2476123863437,10051.768873583256
1804.6426966568708,10081.586773461675
1861.037780927398,10097.488172346548
1917.4328651979254,10099.880846902928
1973.8279494684525,10089.172573795877
2030.2230337389797,10065.77112969045
2086.618118009507,10030.08429125171
2143.013202280034,9982.519835144702
2199.408286550561,9923.485538034492
2255.8033708210887,9853.389176586132
2312.198455091616,9772.63852746469
2368.593539362143,9681.641367335214
2424.98862363267,9580.805472862767
2481.3837079031973,9470.538620712392
2537.7787921737245,9351.248587549158
2594.1738764442516,9223.343150038132
2650.568960714779,9087.230084844357
2706.9640449853064,8943.317168632882
2763.3591292558335,8792.012178068788
2819.7542135263607,8633.72288981712
2876.149297796888,8468.85708054293
2932.544382067415,8297.822526911294
2988.939466337942,8121.027005587252
3045.3345506084697,7938.878293235855
3101.729634878997,7751.784166522175
3158.124719149524,7560.152402111265
3214.519803420051,7364.390776668187
3270.9148876905783,7164.907066857993
3327.3099719611055,6962.109049345739
3383.7050562316326,6756.404500796491
3440.1001405021602,6548.2011978753
3496.4952247726874,6337.906917247222
3552.8903090432145,6125.929435577304
3609.2853933137417,5912.676529530616
3665.680477584269,5698.5559757722185
3722.075561854796,5483.975550967176
3778.470646125323,5269.343031780509
3834.8657303958507,5055.06619487732
3891.260814666378,4841.552816922639
3947.655898936905,4629.21067458154
4004.050983207432,4418.447544519059
4060.4460674779593,4209.671203400272
4116.8411517484865,4003.2894278902327
4173.236236019014,3799.7099946539934
4229.631320289541,3599.340680356599
4286.026404560068,3402.5892616631413
4342.421488830595,3209.8635152386405
4398.816573101122,3021.571217748174
4455.21165737165,2838.120145856801
4511.606741642177,2659.9180762295614
4568.001825912705,2487.372785531552
4624.396910183232,2320.8920504277735
4680.791994453759,2160.8836475833305
4737.187078724286,2007.7553536632554
4793.582162994813,1861.9149453326006
4849.97724726534,1723.7701992564766
4906.3723315358675,1593.7288920998456
4962.767415806395,1472.1988005278629
5019.162500076922,1359.5877012054968
5075.557584347449,1256.303370797871
5131.952668617976,1162.753585970031
5188.347752888503,1079.346123387023
5244.742837159031,1006.4887597138799
5301.137921429558,944.5892716157377
5357.533005700086,894.0554357575651
5413.928089970613,855.2950288044335
5470.32317424114,828.7158274214536
5526.718258511667,814.7256082736325
5583.113342782194,813.7321480260804
