accumulation,production
373.5222666666667,8346.417506400001
776.3159333333333,9861.493176000002
1683.7990333333335,8857.832174400002
400.0923666666667,8076.155090400001
587.9301333333334,8708.305392000002
1294.6553333333334,10280.700213600001
1400.2611666666667,8857.8236184
1512.2504666666669,8898.803372400002
396.87103333333334,7251.6767256
680.4420333333334,8754.7820484
100.41696666666665,2422.2309840000003
2093.7305000000006,7138.704618000001
497.5475666666666,8217.3327924
1119.2033000000001,10162.197026400001
856.0448666666668,9447.914695200001
330.8646,6968.9048892
410.51706666666666,8185.345212
1880.8617000000002,8170.069686
265.20813333333336,6098.713288800001
522.0727666666667,8725.737102000001
2284.6026,6878.1630228
968.1778,9093.5249316
433.91026666666664,8332.7189772
628.4694999999999,11533.1989536
1441.0728000000004,9384.636096
2815.2407000000003,5986.9817136
712.6770000000001,10946.519094000001
1158.6246666666666,9299.6584428
2157.8917333333334,8241.6690192
2348.9506,6790.3770204
2581.4782000000005,7183.523982000001
787.84,10041.852548400002
1279.8356666666668,9270.109242
143.19683333333333,3409.1896848
3407.8184,5382.387781200001
997.5854666666668,10065.7028676
1977.0508333333337,8664.889404000001
1633.5797333333335,8956.028764800001
561.9298666666666,10633.905640800001
857.7036333333334,10814.4192576
3104.1996666666664,5368.9120932
435.96323333333333,9522.287534400002
1099.6241,10403.6403708
3643.1787000000004,3955.5227832
1796.4615333333334,8430.1983348
911.2428333333332,10242.7657416
268.4223333333333,5964.3142536000005
329.45230000000004,6154.460480400001
403.21360000000004,6908.732425200001
298.3907333333333,6183.029097600001
318.454,6610.5261672000015
320.2015333333334,6190.339437600001
324.87896666666666,6084.7034376
338.43576666666667,6608.044807200001
302.8128333333333,5858.299748400001
327.0030333333333,6072.9810972000005
81.90129999999999,1930.8771588
444.68526666666673,7157.858994
284.1625,5849.101705200001
325.4252,6654.9730848
321.7277,6050.182932
249.07386666666665,5067.6156072
286.0011666666667,6297.881850000001
444.73053333333337,6865.900378800001
213.6597,4758.4407
319.11569999999995,7164.132625200001
463.2367,7125.0324348
319.9985333333333,5875.313965200001
269.2288,5766.510446400001
256.42206666666664,6098.4900684
315.80740000000003,6799.0879296
548.0781666666667,7958.455490400001
274.49373333333335,6013.063368000001
303.0145,6609.3310956000005
385.6743,6984.5650344000005
412.50436666666667,6889.6452168000005
450.57550000000003,7371.689950800001
273.95346666666666,5764.5440196
321.1997333333333,6555.880548
86.73849999999999,2168.9220912
676.5787333333333,8909.669614800001
321.0251333333333,6513.8641716
378.81943333333334,7679.654628
367.9181666666667,7032.7039236
250.85406666666665,5363.5649292
291.0938,6709.3739904
601.2826666666667,8070.665589599999
216.97786666666667,4991.7492228
298.6927,6992.062341600001
754.9817333333333,8363.965836
386.00306666666665,7211.561053200001
296.6902,6493.961389200001
