cluster,alpha,beta,N_jam,coef1,coef2,coef3
0,0.4432092309510101,0.5583113342782194,5583.113342782194,3.789198611450501e-07,-0.004239294961293782,12.002843504229931
1,0.3536230415759287,0.2945764832719756,2945.764832719756,2.0583263884163364e-06,-0.01215016388628537,18.150737388264233
2,0.25115814156776894,0.3472866306229285,3472.8663062292853,8.921768964237459e-07,-0.00620881698224913,10.934803605002202
3,0.4494846024001822,0.3220293416637949,3220.2934166379487,2.0026100557495287e-06,-0.012922949810538844,21.104310412142915
4,0.2530165022964322,0.34903406703425743,3490.3406703425744,8.853465522896024e-07,-0.006192285036209663,10.96056195095298
5,0.7064540946492669,0.42191765551104804,4219.17655511048,1.3994866343577707e-06,-0.011832221067626509,25.31675499134739
6,0.4961166807849836,0.33323700044294696,3332.3700044294696,1.9947665898364253e-06,-0.013320334260130136,22.510358103986224
7,0.22283016176424345,0.2345294862499633,2345.294862499633,2.570097060848821e-06,-0.012078605530017082,14.36575033590638
8,0.5350004615927102,0.5579413219590104,5579.413219590104,4.5830699045911003e-07,-0.005124067350709601,14.498311311446582
