Hamming Distance,Algorithm,Time (s),Memory (GB),memo
2,ReconfigAstar,0.06184124946594238,,
2,ReconfigAstar,0.06357669830322266,0.2559089660644531,
2,ReconfigAstar,0.06559610366821289,,
2,ReconfigAstar,0.06201577186584473,0.25588226318359375,
2,ReconfigAstar,0.06395721435546875,0.2568168640136719,
2,ReconfigAstar,0.06625485420227051,,
2,ReconfigAstar,0.06537508964538574,0.25665283203125,
3,ReconfigAstar,0.19224214553833008,0.25732421875,
3,ReconfigAstar,0.18675971031188965,0.2576484680175781,
3,ReconfigAstar,0.20520782470703125,0.2580375671386719,
3,ReconfigAstar,0.1931447982788086,0.2590675354003906,
3,ReconfigAstar,0.1677858829498291,0.2574348449707031,
3,ReconfigAstar,0.10214376449584961,0.25713348388671875,
3,ReconfigAstar,0.20057177543640137,0.2574424743652344,
3,ReconfigAstar,0.2166273593902588,0.2587013244628906,
3,ReconfigAstar,0.22019457817077637,0.2591400146484375,
3,ReconfigAstar,0.21738004684448242,0.2581062316894531,
4,ReconfigAstar,0.5085949897766113,0.25604248046875,
4,ReconfigAstar,0.48166990280151367,0.2555046081542969,
4,ReconfigAstar,0.7503831386566162,0.25626373291015625,
4,ReconfigAstar,0.5037314891815186,0.2556915283203125,
4,ReconfigAstar,0.6030700206756592,0.2558326721191406,
4,ReconfigAstar,0.7883892059326172,0.2552986145019531,
4,ReconfigAstar,0.47583961486816406,0.2551765441894531,
4,ReconfigAstar,0.44694948196411133,0.2559623718261719,
4,ReconfigAstar,0.42661118507385254,0.255279541015625,
4,ReconfigAstar,0.717543363571167,0.2562675476074219,
5,ReconfigAstar,2.3599047660827637,0.28290557861328125,
5,ReconfigAstar,1.4042065143585205,0.2687225341796875,
5,ReconfigAstar,2.092668056488037,0.2693443298339844,
5,ReconfigAstar,2.05707049369812,0.26971435546875,
5,ReconfigAstar,2.604477643966675,0.28238677978515625,
5,ReconfigAstar,1.9912774562835693,0.2685203552246094,
5,ReconfigAstar,1.8524153232574463,0.26908111572265625,
5,ReconfigAstar,2.5619921684265137,0.2819938659667969,
5,ReconfigAstar,2.094566822052002,0.26877593994140625,
5,ReconfigAstar,1.8354699611663818,0.2687187194824219,
6,ReconfigAstar,7.585238218307495,0.3307342529296875,
6,ReconfigAstar,5.497741460800171,0.3182716369628906,
6,ReconfigAstar,5.950390815734863,0.31317138671875,
6,ReconfigAstar,3.7843570709228516,0.29033660888671875,
6,ReconfigAstar,5.001880645751953,0.3109321594238281,
6,ReconfigAstar,5.9713239669799805,0.3124847412109375,
6,ReconfigAstar,5.0295186042785645,0.3042640686035156,
6,ReconfigAstar,4.828980922698975,0.3045997619628906,
6,ReconfigAstar,4.673894882202148,0.304046630859375,
6,ReconfigAstar,8.210037469863892,0.3462104797363281,
7,ReconfigAstar,18.77997136116028,0.4844398498535156,
7,ReconfigAstar,29.70483422279358,0.6098670959472656,
7,ReconfigAstar,19.07429313659668,0.4871826171875,
7,ReconfigAstar,12.141185760498047,0.3750648498535156,
7,ReconfigAstar,17.332465887069702,0.44773101806640625,
7,ReconfigAstar,14.308778047561646,0.4071540832519531,
7,ReconfigAstar,12.939173698425293,0.3912849426269531,
7,ReconfigAstar,13.886127233505249,0.4087944030761719,
7,ReconfigAstar,14.994542121887207,0.4277687072753906,
7,ReconfigAstar,12.862011432647705,0.3894805908203125,
8,ReconfigAstar,27.387035846710205,0.5658035278320312,
8,ReconfigAstar,51.84330224990845,0.8510627746582031,
8,ReconfigAstar,20.431150913238525,0.4841423034667969,
8,ReconfigAstar,56.41780066490173,0.8423118591308594,
8,ReconfigAstar,56.44950008392334,0.8266792297363281,
8,ReconfigAstar,40.00744438171387,0.6746101379394531,
8,ReconfigAstar,43.92130470275879,0.709747314453125,
8,ReconfigAstar,17.517563819885254,0.4722900390625,
8,ReconfigAstar,46.36748814582825,0.8241806030273438,
8,ReconfigAstar,48.337608098983765,0.7808113098144531,
9,ReconfigAstar,90.76617383956909,1.2054595947265625,
9,ReconfigAstar,68.53365731239319,0.9980850219726562,
9,ReconfigAstar,174.6040952205658,2.1351165771484375,
9,ReconfigAstar,66.10181927680969,0.9981956481933594,
9,ReconfigAstar,52.66253972053528,0.8216361999511719,
9,ReconfigAstar,109.11083745956421,1.5767669677734375,
9,ReconfigAstar,29.251574993133545,0.5525741577148438,
9,ReconfigAstar,71.09573411941528,0.9794425964355469,
9,ReconfigAstar,98.82023620605469,1.3439483642578125,
9,ReconfigAstar,51.07656216621399,0.7150726318359375,
10,ReconfigAstar,170.906259059906,2.0023536682128906,
10,ReconfigAstar,122.2407398223877,1.549652099609375,
10,ReconfigAstar,232.81669545173645,2.9344482421875,
10,ReconfigAstar,190.02571415901184,2.2618980407714844,
10,ReconfigAstar,220.8786427974701,2.578601837158203,
10,ReconfigAstar,39.29986214637756,0.649322509765625,
10,ReconfigAstar,78.84992599487305,1.066009521484375,
10,ReconfigAstar,218.76166796684265,2.510822296142578,
10,ReconfigAstar,136.01336312294006,1.749176025390625,
10,ReconfigAstar,216.12418460845947,2.5414962768554688,
11,ReconfigAstar,759.9152898788452,8.334815979003906,
11,ReconfigAstar,392.2105791568756,4.406558990478516,
11,ReconfigAstar,141.32718062400818,1.732818603515625,
11,ReconfigAstar,639.8850243091583,7.273719787597656,
11,ReconfigAstar,1650.9725215435028,19.285991668701172,
11,ReconfigAstar,368.53378534317017,3.8482437133789062,
11,ReconfigAstar,258.7652852535248,2.7897491455078125,
11,ReconfigAstar,637.3854465484619,6.7000274658203125,
11,ReconfigAstar,482.0017786026001,5.402515411376953,
11,ReconfigAstar,657.4843220710754,7.729194641113281,
12,ReconfigAstar,2044.6798312664032,20.36651611328125,
12,ReconfigAstar,2313.3581862449646,23.778331756591797,
12,ReconfigAstar,908.6814916133881,9.778457641601562,
12,ReconfigAstar,735.0597157478333,7.664398193359375,
12,ReconfigAstar,3400.605044603348,34.084102630615234,
12,ReconfigAstar,2262.123194694519,23.113731384277344,
12,ReconfigAstar,1433.1652429103851,14.388961791992188,
12,ReconfigAstar,2227.8879318237305,22.32498550415039,
12,ReconfigAstar,2277.257402896881,23.864765167236328,
12,ReconfigAstar,988.5377259254456,9.469505310058594,
1,ReconfigDFS,0.04953145980834961,0.2560539245605469,
1,ReconfigDFS,0.04964900016784668,,
1,ReconfigDFS,0.05514693260192871,,
1,ReconfigDFS,0.05501413345336914,,
1,ReconfigDFS,0.049703359603881836,,
1,ReconfigDFS,0.04605722427368164,,
1,ReconfigDFS,0.05196332931518555,,
1,ReconfigDFS,0.048592567443847656,,
1,ReconfigDFS,0.04754519462585449,,
1,ReconfigDFS,0.04691481590270996,,
2,ReconfigDFS,0.11429786682128906,0.257049560546875,
2,ReconfigDFS,0.188554048538208,0.2564048767089844,
2,ReconfigDFS,0.27051353454589844,0.2573966979980469,
2,ReconfigDFS,0.17888951301574707,0.257598876953125,
2,ReconfigDFS,0.19235873222351074,0.2578849792480469,
2,ReconfigDFS,0.20863747596740723,0.2569122314453125,
2,ReconfigDFS,0.17253804206848145,0.2571754455566406,
2,ReconfigDFS,0.09822607040405273,0.2563934326171875,
2,ReconfigDFS,0.1572577953338623,0.256500244140625,
2,ReconfigDFS,0.1298980712890625,0.2570533752441406,
3,ReconfigDFS,0.6264009475708008,0.2583961486816406,
3,ReconfigDFS,2.189098596572876,0.2619209289550781,
3,ReconfigDFS,0.3233671188354492,0.25753021240234375,
3,ReconfigDFS,0.7153444290161133,0.25859832763671875,
3,ReconfigDFS,1.5907654762268066,0.25989532470703125,
3,ReconfigDFS,0.5841097831726074,0.2576713562011719,
3,ReconfigDFS,1.3028979301452637,0.2597503662109375,
3,ReconfigDFS,0.4360232353210449,0.2583045959472656,
3,ReconfigDFS,1.2386982440948486,0.2598838806152344,
3,ReconfigDFS,0.7913651466369629,0.25890350341796875,
4,ReconfigDFS,21.6988685131073,0.27085113525390625,
4,ReconfigDFS,17.115880489349365,0.2714996337890625,
4,ReconfigDFS,59.72040605545044,0.2714653015136719,
4,ReconfigDFS,53.686030864715576,0.2724113464355469,
4,ReconfigDFS,12.532634496688843,0.269012451171875,
4,ReconfigDFS,17.90627408027649,0.27127838134765625,
4,ReconfigDFS,52.592552185058594,0.27074432373046875,
4,ReconfigDFS,10.626306056976318,0.2698478698730469,
4,ReconfigDFS,9.051072120666504,0.26914215087890625,
4,ReconfigDFS,26.07597804069519,0.2714118957519531,
5,ReconfigDFS,126.02984380722046,0.2719306945800781,
5,ReconfigDFS,346.730144739151,0.2722015380859375,
5,ReconfigDFS,804.4975047111511,0.2722969055175781,
5,ReconfigDFS,143.39835000038147,0.271240234375,
5,ReconfigDFS,188.36280751228333,0.2712974548339844,
5,ReconfigDFS,2508.3393149375916,0.27077484130859375,
5,ReconfigDFS,102.58626651763916,0.2716178894042969,
5,ReconfigDFS,683.2320246696472,0.271209716796875,
5,ReconfigDFS,288.27750420570374,0.27056121826171875,
5,ReconfigDFS,339.1797318458557,0.2711753845214844,
6,ReconfigDFS,,,Timeout
6,ReconfigDFS,,,Timeout
6,ReconfigDFS,,,Timeout
6,ReconfigDFS,,,Timeout
7,ReconfigDFS,,,Timeout
7,ReconfigDFS,,,Timeout
7,ReconfigDFS,,,Timeout
7,ReconfigDFS,,,Timeout
7,ReconfigDFS,,,Timeout
7,ReconfigDFS,,,Timeout
7,ReconfigDFS,,,Timeout
7,ReconfigDFS,,,Timeout
7,ReconfigDFS,,,Timeout
7,ReconfigDFS,,,Timeout
8,ReconfigDFS,,,Timeout
8,ReconfigDFS,,,Timeout
8,ReconfigDFS,,,Timeout
8,ReconfigDFS,,,Timeout
8,ReconfigDFS,,,Timeout
8,ReconfigDFS,,,Timeout
8,ReconfigDFS,,,Timeout
8,ReconfigDFS,,,Timeout
8,ReconfigDFS,,,Timeout
8,ReconfigDFS,,,Timeout
9,ReconfigDFS,,,Timeout
9,ReconfigDFS,,,Timeout
9,ReconfigDFS,,,Timeout
9,ReconfigDFS,,,Timeout
