,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,mean
generation_0,0.1866607666015625,0.40784788131713867,0.6933927536010742,1.5964784622192383,1.8958754539489746,0.9560510635375976
generation_1,0.32087182998657227,0.4685542583465576,1.312483310699463,1.835291862487793,2.235590934753418,1.2345584392547608
generation_2,0.2560999393463135,0.38384008407592773,0.9449717998504639,1.0906760692596436,3.4460384845733643,1.2243252754211427
generation_3,0.4686110019683838,0.5941030979156494,1.8411378860473633,2.2917776107788086,13.341071605682373,3.7073402404785156
generation_4,0.634692907333374,0.5742590427398682,1.5402047634124756,3.242741584777832,31.045055150985718,7.407390689849853
generation_5,0.6673729419708252,0.503185510635376,2.314011812210083,5.02359676361084,220.44735050201416,45.791103506088255
generation_6,0.5158860683441162,0.5586469173431396,6.1534576416015625,11.65270733833313,233.45257592201233,50.466654777526855
generation_7,0.4824554920196533,0.7741806507110596,2.137531280517578,17.474446058273315,156.4629623889923,35.46631517410278
generation_8,0.31725382804870605,0.4023315906524658,0.392345666885376,24.7140154838562,55.72340440750122,16.309870195388793
generation_9,0.36632490158081055,0.4360170364379883,0.584122896194458,18.574146032333374,39.85304355621338,11.962730884552002
