_id,_index,location_number_ja,area_division_name_ja,sewer_supply_availability,city_code,residence_display_name_ja,side_road_name_ja,u_road_distance_to_nearest_station_name_ja,building_structure_name_ja,proximity_to_transportation_facilitites,regulations_use_category_name_ja,side_road_azimuth_name_ja,current_usage_status_of_surrounding_land_name_ja,front_road_name_ja,u_ground_hierarchy_ja,use_category_name_ja,gas_supply_availability,nearest_station_name_ja,front_road_width,u_underground_hierarchy_ja,year_on_year_change_rate,u_regulations_building_coverage_ratio_ja,water_supply_availability,u_cadastral_ja,point_id,front_road_pavement_condition,usage_category_name_ja,prefecture_code,regulations_forest_law_name_ja,regulations_park_law_name_ja,city_county_name_ja,front_road_azimuth_name_ja,target_year_name_ja,u_regulations_floor_area_ratio_ja,prefecture_name_ja,regulations_fireproof_name_ja,depth_ratio,u_current_years_price_ja,ward_town_village_name_ja,frontage_ratio,place_name_ja,land_price_type,usage_status_name_ja,regulations_altitude_district_name_ja,pause_flag,standard_lot_number_ja,last_years_price,location,shape,front_road_condition,side_road_condition,park_forest_law,lon,lat
uoNnd5cBJx74NFADAb_Z,bi007_land_prices_2011-2020_202506161517,中島大浦３０３９番２５,都市計画区域の定めのない区域,False,38201,,側道,260m,W（木造）,0.0,その他,北西,,道路,2F,住宅地,False,中島港,26.0,,-5.5,-(%),True,144(㎡),3523066,1,建物などの敷地,38,,,松山市,南西,平成25年7月1日,-(%),愛媛県,,10.0,"24,200(円/㎡)",,10.0,松山,1,住宅,,0,松山-46,25600.0,愛媛県松山市中島大浦３０３９番２５,(1.0：1.0),南西　2.6m　道路,北西　側道,,132.6285195350647,33.97425699299308
yG9od5cBxLgMoUYlWY5I,bi007_land_prices_2011-2020_202506161517,中島大浦３０７５番１７,都市計画区域の定めのない区域,False,38201,,,170m,S（鉄骨造）,0.0,その他,,,市区町村道,2F,商業地,False,中島港,90.0,,-5.5,-(%),True,138(㎡),3523069,1,建物などの敷地,38,,,松山市,南,平成25年7月1日,-(%),愛媛県,,15.0,"27,300(円/㎡)",,10.0,松山,1,店舗,,0,松山5-25,28900.0,愛媛県松山市中島大浦３０７５番１７,(1.0：1.5),南　9.0m　市区町村道,,,132.62892723083496,33.97239743635794
4YJkd5cBJx74NFAD-KvF,bi007_land_prices_2011-2020_202506161517,中島大浦３０３９番２５,都市計画区域の定めのない区域,False,38201,,側道,260m,W（木造）,0.0,その他,北西,,道路,2F,住宅地,False,中島港,26.0,,-5.4,-(%),True,144(㎡),3523066,1,建物などの敷地,38,,,松山市,南西,平成26年7月1日,-(%),愛媛県,,10.0,"22,900(円/㎡)",,10.0,松山,1,住宅,,0,松山-46,24200.0,愛媛県松山市中島大浦３０３９番２５,(1.0：1.0),南西　2.6m　道路,北西　側道,,132.6285195350647,33.97425699299308
GHBqd5cBxLgMoUYl581b,bi007_land_prices_2011-2020_202506161517,中島大浦３０７５番１７,都市計画区域の定めのない区域,False,38201,,,170m,S（鉄骨造）,0.0,その他,,,市区町村道,2F,商業地,False,中島港,90.0,,-5.5,-(%),True,138(㎡),3523069,1,建物などの敷地,38,,,松山市,南,平成26年7月1日,-(%),愛媛県,,20.0,"25,800(円/㎡)",,10.0,松山,1,店舗,,0,松山5-25,27300.0,愛媛県松山市中島大浦３０７５番１７,(1.0：2.0),南　9.0m　市区町村道,,,132.62892723083496,33.97239743635794
A4Nmd5cBJx74NFADzaY9,bi007_land_prices_2011-2020_202506161517,中島大浦３０７５番１７,都市計画区域の定めのない区域,False,38201,,,170m,S（鉄骨造）,0.0,その他,,店舗、事務所、一般住宅等が混在する商業地域,市区町村道,2F,商業地,False,中島港,90.0,,-5.8,-(%),True,138(㎡),3523069,1,建物などの敷地,38,,,松山市,南,平成27年7月1日,-(%),愛媛県,,20.0,"24,300(円/㎡)",,10.0,松山,1,店舗,,0,松山5-25,25800.0,愛媛県松山市中島大浦３０７５番１７,(1.0：2.0),南　9.0m　市区町村道,,,132.62892723083496,33.97239743635794
fm9pd5cBxLgMoUYlL_WW,bi007_land_prices_2011-2020_202506161517,中島大浦３０３９番２５,都市計画区域の定めのない区域,False,38201,,側道,260m,W（木造）,0.0,その他,北西,一般住宅等が密集する古くからの住宅地域,道路,2F,住宅地,False,中島港,26.0,,-5.7,-(%),True,144(㎡),3523066,1,建物などの敷地,38,,,松山市,南西,平成27年7月1日,-(%),愛媛県,,10.0,"21,600(円/㎡)",,10.0,松山,1,住宅,,0,松山-46,22900.0,愛媛県松山市中島大浦３０３９番２５,(1.0：1.0),南西　2.6m　道路,北西　側道,,132.6285195350647,33.97425699299308
M25nd5cBxLgMoUYlTf7L,bi007_land_prices_2011-2020_202506161517,中島大浦３０３９番２５,都市計画区域の定めのない区域,False,38201,,側道,260m,W（木造）,0.0,その他,北西,一般住宅等が密集する古くからの住宅地域,道路,2F,住宅地,False,中島港,26.0,,-5.6,-(%),True,144(㎡),3523066,1,建物などの敷地,38,,,松山市,南西,平成28年7月1日,-(%),愛媛県,,10.0,"20,400(円/㎡)",,10.0,松山,1,住宅,,0,松山-46,21600.0,愛媛県松山市中島大浦３０３９番２５,(1.0：1.0),南西　2.6m　道路,北西　側道,,132.6285195350647,33.97425699299308
EG9od5cBxLgMoUYlqLTq,bi007_land_prices_2011-2020_202506161517,中島大浦３０７５番１７,都市計画区域の定めのない区域,False,38201,,,170m,S（鉄骨造）,0.0,その他,,店舗、事務所、一般住宅等が混在する商業地域,市区町村道,2F,商業地,False,中島港,90.0,,-5.8,-(%),True,138(㎡),3523069,1,建物などの敷地,38,,,松山市,南,平成28年7月1日,-(%),愛媛県,,20.0,"22,900(円/㎡)",,10.0,松山,1,店舗,,0,松山5-25,24300.0,愛媛県松山市中島大浦３０７５番１７,(1.0：2.0),南　9.0m　市区町村道,,,132.62892723083496,33.97239743635794
zINmd5cBJx74NFADnIzk,bi007_land_prices_2011-2020_202506161517,中島大浦３０３９番２５,都市計画区域の定めのない区域,False,38201,,側道,260m,W（木造）,0.0,その他,北西,一般住宅等が密集する古くからの住宅地域,道路,2F,住宅地,False,中島港,26.0,,-5.4,-(%),True,144(㎡),3523066,1,建物などの敷地,38,,,松山市,南西,平成29年7月1日,-(%),愛媛県,,10.0,"19,300(円/㎡)",,10.0,松山,1,住宅,,0,松山-46,20400.0,愛媛県松山市中島大浦３０３９番２５,(1.0：1.0),南西　2.6m　道路,北西　側道,,132.6285195350647,33.97425699299308
5G9od5cBxLgMoUYl28v8,bi007_land_prices_2011-2020_202506161517,中島大浦３０７５番１７,都市計画区域の定めのない区域,False,38201,,,170m,S（鉄骨造）,0.0,その他,,店舗、事務所、一般住宅等が混在する商業地域,市区町村道,2F,商業地,False,中島港,90.0,,-5.7,-(%),True,138(㎡),3523069,1,建物などの敷地,38,,,松山市,南,平成29年7月1日,-(%),愛媛県,,20.0,"21,600(円/㎡)",,10.0,松山,1,店舗,,0,松山5-25,22900.0,愛媛県松山市中島大浦３０７５番１７,(1.0：2.0),南　9.0m　市区町村道,,,132.62892723083496,33.97239743635794
