転出ゾーン,移動総数,市外,市内総数,番町,東雲,八坂,素鵞,雄郡,新玉,味酒,清水,桑原,道後,味生,生石,垣生,宮前,三津浜,高浜,久枝,潮見,和気,堀江,余土,由良,泊,久米,湯山,日浦,伊台,五明,小野,浮穴,石井,荏原,坂本,浅海,立岩,難波,正岡,北条,河野,粟井,睦野,東中島,西中島,神和
番町,342,146,196,34,17,18,18,16,6,7,8,6,17,3,7,,,,,2,1,1,,8,,,5,1,,,,,,18,1,,,,,,2,,,,,,
東雲,814,370,444,13,94,37,27,33,8,24,28,23,62,6,4,1,3,,,5,1,2,2,9,,,14,6,,2,,2,4,30,2,,,,1,,1,,,,,,
八坂,472,185,287,17,23,51,27,26,8,9,18,18,15,5,,5,1,,,2,,1,1,11,,,13,,,2,,6,8,17,,,,1,2,,,,,,,,
素鵞,1913,644,1269,13,35,41,332,88,10,37,43,101,53,22,25,6,9,10,4,34,4,8,9,38,,,83,9,,4,,13,9,201,16,,,1,,4,4,,1,,1,1,
雄郡,3091,1183,1908,36,28,14,65,619,94,87,53,58,41,108,94,42,12,11,9,26,7,18,8,118,1,,48,5,,13,,34,13,209,16,1,,4,4,,4,5,2,,1,,
新玉,1205,494,711,15,13,16,33,80,112,85,36,13,12,59,40,5,4,2,2,24,7,2,7,21,,,27,5,,,1,11,3,59,3,,,1,,,4,2,5,,,2,
味酒,2030,898,1132,9,23,21,33,93,70,283,134,16,44,62,15,5,12,7,7,74,15,15,18,23,1,1,44,13,,2,,3,3,64,14,,,,2,,2,,2,,1,1,
清水,2501,1035,1466,9,40,17,46,71,44,131,437,43,67,67,11,2,22,13,9,123,44,29,21,27,,1,47,6,,9,1,6,3,89,4,,,,2,1,11,5,4,,2,2,
桑原,2075,700,1375,4,19,10,96,38,26,24,42,514,76,31,17,5,6,13,8,9,14,10,15,20,,,136,30,,13,,50,15,113,9,1,,1,1,,6,,3,,,,
道後,2104,1016,1088,10,70,20,50,34,29,41,42,89,393,21,14,2,5,7,5,17,15,5,14,25,,,48,17,,6,1,25,4,67,1,,,1,4,,,1,4,,1,,
味生,1991,591,1400,3,5,9,25,88,33,52,46,28,21,557,108,19,57,12,17,32,11,24,10,62,3,1,29,13,,12,,9,9,80,9,1,,1,2,1,3,1,4,,1,,2
生石,1348,432,916,9,8,2,12,62,14,24,16,16,13,100,317,67,18,7,19,12,11,20,10,45,,,21,4,1,1,,3,4,56,11,,,,1,4,1,,5,,2,,
垣生,815,216,599,1,4,5,18,50,13,8,11,3,4,51,55,241,,,,3,3,5,2,70,,,11,2,,6,,2,7,20,1,,1,,,,2,,,,,,
宮前,814,285,529,,8,5,6,17,4,23,19,8,8,49,15,4,167,29,37,44,5,10,15,9,,2,10,1,,1,,5,,18,1,,,,2,1,2,,1,,2,1,
三津浜,366,131,235,,2,1,14,11,6,9,7,1,2,42,10,,25,46,8,16,2,1,1,4,,,2,2,,1,,5,,14,,,,,1,,1,,,,,1,
高浜,332,97,235,2,6,,9,5,4,13,8,4,7,15,5,,12,11,75,19,2,1,8,4,4,,4,1,,,,1,,4,,,,1,,3,4,,2,,1,,
久枝,1485,456,1029,5,11,5,24,35,20,61,76,13,17,34,18,6,44,12,4,347,38,63,41,18,1,4,19,8,,4,,9,5,48,5,,1,,1,2,7,6,17,,,,
潮見,794,269,525,,4,6,5,24,10,26,51,19,11,9,9,8,8,2,1,45,156,23,25,6,,,10,8,,8,,,2,33,3,1,1,,1,,5,5,,,,,
和気,736,180,556,,6,1,17,18,6,21,15,17,9,17,13,2,9,1,7,65,22,198,38,9,,,7,1,,,,1,1,25,5,,,,1,1,4,3,15,,1,,
堀江,631,194,437,1,2,2,6,14,5,22,36,8,11,11,16,,2,1,,33,29,35,127,5,,,4,4,,13,1,5,1,12,1,,,,1,1,19,5,4,,,,
余土,1647,613,1034,6,5,7,22,82,23,16,20,28,11,43,87,45,9,1,5,13,9,10,11,387,1,2,24,9,,5,,8,6,128,5,3,,,,,,2,1,,,,
由良,21,2,19,,,,1,,,,,,,3,,,1,,1,,,4,2,,4,2,,,,,,,,1,,,,,,,,,,,,,
泊,13,4,9,,,,,,,,,,,2,,,1,,1,1,,,,,,3,,,,,,,,1,,,,,,,,,,,,,
久米,2431,890,1541,6,15,9,66,39,13,19,21,127,50,20,11,6,11,8,5,9,8,6,11,29,,,645,14,,2,,82,30,223,30,5,2,,2,,7,6,2,,2,,
湯山,386,159,227,1,1,2,11,7,8,15,4,12,32,3,5,3,1,4,,7,1,,,2,,,14,54,,2,1,1,5,26,,,,,,,2,2,1,,,,
日浦,7,4,3,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伊台,244,113,131,1,8,1,7,2,2,3,3,6,24,,1,2,2,,1,2,8,1,5,,,,4,1,1,14,,,4,19,3,,,,1,,1,,4,,,,
五明,31,3,28,,,,,,1,1,,2,3,,,,1,,,1,2,,2,,,,4,1,,,10,,,,,,,,,,,,,,,,
小野,1268,799,469,1,3,4,20,13,5,4,7,35,12,6,3,2,3,3,2,10,4,1,1,11,,,66,4,,5,,208,4,28,2,,,,,,2,,,,,,
浮穴,616,190,426,,1,2,17,7,1,5,15,13,10,3,7,6,1,2,1,7,2,2,4,14,,,62,2,,4,,8,133,78,14,1,,,,,1,,3,,,,
石井,5197,1907,3290,26,24,47,143,174,35,59,54,114,43,69,60,55,26,10,6,42,17,32,24,152,1,1,198,37,,27,,52,75,1616,29,6,2,,1,1,20,6,5,,1,,
荏原,414,170,244,4,2,2,8,4,5,10,3,9,14,3,3,3,1,,1,2,3,1,3,8,,,23,4,,,1,5,10,31,70,7,,1,1,,1,,1,,,,
坂本,67,31,36,,,1,2,1,,,3,2,1,1,,,,,,1,,,,4,,,2,,,1,,,1,8,3,5,,,,,,,,,,,
浅海,40,14,26,,,,,,,1,,,,5,1,,,,,1,1,,1,1,,,1,,,,,,,,,,2,,2,,8,,2,,,,
立岩,23,10,13,,,,2,1,,,,,,1,,,,,1,,,,,,,,1,1,,,,,,1,,,,,,,2,1,2,,,,
難波,114,36,78,,1,,,6,,,,1,3,3,1,,2,,,1,2,3,6,1,,,1,1,,,,,,3,,,3,,11,2,21,2,4,,,,
正岡,72,11,61,,1,1,2,,,3,4,1,,1,1,,2,,,7,5,6,2,1,,,2,,,,,,,,,,,,3,6,3,3,7,,,,
北条,379,155,224,1,2,1,9,12,1,4,6,7,4,7,1,,1,,1,2,7,2,8,5,,,2,4,,,,,,8,,,2,4,11,7,84,13,7,,1,,
河野,205,59,146,,1,1,2,6,,6,10,4,3,12,1,3,2,,1,8,7,4,6,3,,,6,1,,,,5,,3,,,,1,1,2,13,25,9,,,,
粟井,234,83,151,,2,,1,6,1,5,10,5,2,1,1,,,1,2,11,3,7,11,1,,,5,,,2,,4,,1,,,,,3,,18,11,37,,,,
睦野,6,,6,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,1,,,,,,,,,,,,,,1,,,
東中島,63,8,55,,1,,3,2,2,1,3,,,3,1,,2,3,1,1,1,,,1,,,,,,,,,2,2,,,,1,,,,,,,22,1,2
西中島,24,3,21,,,,2,2,,,1,,,,,,,1,,1,,2,,,,,,,,,,1,,,,,,,,,,,,,2,9,
神和,18,5,13,,,,,,,,2,,,,,,3,,1,3,,,,,,,,,,,,,,,1,,,,,,,,,,2,,1
