転出ゾーン,移動総数,市外,市内総数,番町,東雲,八坂,素鵞,雄郡,新玉,味酒,清水,桑原,道後,味生,生石,垣生,宮前,三津浜,高浜,久枝,潮見,和気,堀江,余土,由良,泊,久米,湯山,日浦,伊台,五明,小野,浮穴,石井,荏原,坂本,浅海,立岩,難波,正岡,北条,河野,粟井,睦野,東中島,西中島,神和
番町,399,167,232,45,15,14,23,26,8,9,4,3,14,1,6,,3,,1,11,,5,,7,,,5,,,,,5,,20,,,,,,,3,,2,,2,,
東雲,829,414,415,12,91,37,20,22,17,16,23,20,49,7,4,1,10,,1,2,8,4,1,9,,,11,3,,7,,6,,28,3,,,,,,,2,1,,,,
八坂,533,202,331,14,17,52,48,26,12,11,26,22,22,5,2,2,9,2,1,2,1,,5,3,,,18,2,,,,3,1,18,2,,,,2,,2,,1,,,,
素鵞,1936,614,1322,9,36,30,398,89,26,32,46,125,49,19,15,17,5,2,8,24,11,6,8,35,,,76,16,1,7,1,20,11,161,13,1,,,1,,9,8,6,,1,,
雄郡,3314,1354,1960,22,26,35,75,628,101,71,62,58,46,137,69,56,33,13,23,47,10,13,16,123,2,,30,21,,8,,19,15,154,18,,2,1,1,,13,3,6,1,,1,1
新玉,1200,501,699,10,23,6,26,97,164,66,29,19,31,61,22,8,5,4,1,18,7,7,5,17,,,14,4,,1,1,1,3,33,,,2,,,,5,3,2,,2,,2
味酒,2121,990,1131,15,22,9,42,87,63,302,85,32,70,42,29,7,28,7,11,52,10,17,13,26,,3,42,4,,10,,8,3,64,4,,,,,1,11,3,5,,4,,
清水,2616,1097,1519,18,43,15,31,77,38,151,476,34,86,31,16,8,38,9,5,112,53,21,6,26,,1,28,17,,22,,10,10,98,6,,3,,4,3,8,,14,,1,,
桑原,2349,869,1480,7,26,14,131,37,9,17,29,586,71,40,17,18,8,,4,16,12,11,12,23,,,121,32,,24,,37,5,134,6,4,4,,2,1,7,5,7,,3,,
道後,2439,1127,1312,15,63,28,61,50,18,29,98,76,512,18,14,4,15,6,14,19,12,27,9,27,,,39,13,,21,,14,14,78,3,,,,3,1,4,,6,,1,,
味生,1956,564,1392,6,9,9,28,78,61,60,31,25,19,534,133,25,62,22,15,46,13,18,20,31,,,27,6,,7,,12,8,69,3,,,1,,4,5,1,3,1,,,
生石,1248,420,828,1,6,1,17,58,19,21,17,15,7,116,285,49,20,7,10,13,16,11,9,49,,,10,2,,2,,3,2,44,10,,1,,,1,2,1,3,,,,
垣生,720,266,454,,4,1,7,19,12,18,3,12,16,27,49,177,11,2,5,2,5,10,2,38,,,,5,,1,,,,20,2,,,,,,4,2,,,,,
宮前,919,329,590,2,4,5,11,23,7,17,15,2,7,60,23,4,186,42,26,25,10,21,15,10,1,,11,3,,1,1,1,1,34,,,,,,1,6,4,4,,6,,1
三津浜,335,101,234,1,5,,5,10,1,10,7,5,4,28,2,1,29,73,17,7,5,1,,1,,,5,,,,,2,5,7,,1,,,,,1,,,,1,,
高浜,336,96,240,1,5,,7,15,4,16,5,7,2,24,8,4,20,6,52,10,4,3,1,2,,1,10,,,,,4,,13,4,,,,1,,9,,1,,,1,
久枝,1651,481,1170,7,5,5,11,37,12,77,94,30,17,66,23,7,28,10,12,350,69,75,51,27,,1,26,6,,9,1,6,5,62,5,,,,4,,17,2,12,,,1,
潮見,943,321,622,1,3,5,9,18,16,15,45,20,17,10,21,9,4,6,2,92,184,35,22,3,,,15,2,,9,,4,6,17,9,,,1,1,,11,1,9,,,,
和気,712,222,490,5,6,1,8,14,13,14,22,10,3,32,13,4,9,5,1,60,32,125,29,10,,,15,4,,8,,4,2,16,1,,,,,,8,6,9,,,1,
堀江,524,142,382,4,2,1,10,10,3,9,32,2,6,10,6,5,5,1,,27,19,26,144,7,,,1,4,,5,,1,4,11,,,,,,6,11,7,2,,1,,
余土,1825,709,1116,10,7,5,30,113,15,21,17,21,22,46,67,68,5,9,4,19,3,1,10,437,1,,30,3,,1,,11,3,121,1,1,,,2,4,,,3,,5,,
由良,19,4,15,,1,,1,1,1,,1,1,,,,,3,,,,,,2,2,,1,,,,,,,,1,,,,,,,,,,,,,
泊,10,4,6,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,1,,,,,
久米,2652,1006,1646,10,21,16,82,52,20,21,33,146,47,25,19,5,5,1,16,18,13,11,5,17,,,599,19,,12,4,141,47,183,36,6,,,1,,2,3,6,,4,,
湯山,419,159,260,1,4,,11,18,1,2,10,34,12,,6,2,2,,5,8,4,2,3,3,,,11,86,,,,3,2,25,1,,,,,,4,,,,,,
日浦,14,6,8,,,1,,1,,,,1,2,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,
伊台,301,102,199,5,2,1,7,3,2,12,10,6,14,7,2,1,1,,3,10,7,,4,4,,,11,15,,38,2,9,,22,,1,,,,,,,,,,,
五明,27,4,23,,1,1,1,,2,,2,1,1,,,,2,,,,,,,,,,1,,,7,,2,,1,1,,,,,,,,,,,,
小野,1113,585,528,1,4,8,16,28,9,12,3,35,7,6,4,1,3,1,1,3,2,,4,10,,,94,5,,2,,213,2,42,6,1,,,1,1,,,2,,1,,
浮穴,652,233,419,,7,5,9,7,6,5,9,9,5,5,3,3,2,,,6,4,7,1,9,,,50,8,,,,13,153,71,16,4,,,,,2,,,,,,
石井,5165,1934,3231,14,40,34,213,134,38,42,50,128,50,85,35,38,23,7,8,44,18,13,12,185,2,1,196,10,,9,,46,67,1629,34,4,,,3,7,6,2,2,,2,,
荏原,481,256,225,,1,3,6,5,,5,5,12,5,6,4,1,,,,6,6,,1,5,,,36,3,,1,2,8,6,22,66,8,,,,,1,,1,,,,
坂本,68,42,26,2,,,,,,3,2,1,,,2,1,,,,,,1,,1,,,1,,,,,,2,4,1,5,,,,,,,,,,,
浅海,49,17,32,1,,,1,,,1,,1,1,2,1,,,1,,3,,,1,,,,,,,,,,,,,,2,,,,8,6,3,,,,
立岩,22,6,16,,,1,,,,1,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,3,1,,2,,4,,,1,
難波,94,57,37,,,1,,,1,2,,,2,,,1,,,,,5,3,1,2,,,,,,,,,,1,,,,,4,,11,3,,,,,
正岡,89,27,62,,1,1,1,5,1,4,3,1,1,6,3,1,,,1,2,4,5,1,3,,,,1,,,,2,1,2,,,,,2,,9,,1,,,,
北条,499,184,315,,5,2,9,9,2,8,12,3,16,4,5,5,,1,2,5,4,9,11,4,,,12,3,,,,3,,3,1,,1,,10,4,128,15,19,,,,
河野,222,69,153,,3,,2,4,,10,4,2,3,5,1,,,,5,8,1,4,10,2,,,3,,,,,1,1,7,,,,,,,19,37,21,,,,
