転出ゾーン,移動総数,市外,市内総数,番町,東雲,八坂,素鵞,雄郡,新玉,味酒,清水,桑原,道後,味生,生石,垣生,宮前,三津浜,高浜,久枝,潮見,和気,堀江,余土,由良,泊,久米,湯山,日浦,伊台,五明,小野,浮穴,石井,荏原,坂本,浅海,立岩,難波,正岡,北条,河野,粟井,睦野,東中島,西中島,神和
番町,420,143,277,51,24,26,17,26,15,11,12,5,16,2,2,1,4,1,2,1,5,3,,6,,,12,2,,1,,10,3,16,2,,,,,,1,,,,,,
東雲,921,408,513,13,118,35,36,39,10,25,27,24,58,13,4,3,2,4,,8,6,,2,15,,,10,3,,4,,3,1,33,2,,,,2,,2,6,4,,1,,
八坂,539,191,348,10,19,69,34,19,6,12,21,33,18,6,3,1,4,1,1,9,2,,1,7,,,12,1,,3,,4,3,34,6,,,1,,1,5,,1,,,1,
素鵞,2061,641,1420,15,18,29,427,64,30,36,35,130,64,34,18,3,11,2,7,25,13,11,6,37,,,91,22,,7,,14,6,250,4,1,,,,,4,,5,,,,1
雄郡,3439,1304,2135,23,32,29,78,717,86,90,69,65,71,168,86,27,18,7,11,52,21,5,3,117,,1,52,13,,7,,24,16,221,2,1,,,5,1,11,1,3,,2,,
新玉,1325,515,810,32,26,9,25,98,192,79,31,10,14,77,30,4,11,1,3,20,7,9,7,27,,4,30,,,3,,4,7,41,3,,,,1,,3,,2,,,,
味酒,2176,1027,1149,8,51,19,32,84,72,278,115,33,41,57,30,12,28,22,13,68,16,15,11,28,,,22,1,,2,,8,6,57,5,,,,1,1,8,1,4,,,,
清水,2630,1083,1547,12,55,16,51,81,31,115,460,27,79,62,20,9,34,17,12,110,58,31,37,35,,,24,13,,15,,8,13,91,3,2,,,2,2,13,4,1,1,1,1,1
桑原,2174,747,1427,2,21,12,94,70,25,33,29,484,80,40,14,5,12,1,1,21,21,6,12,19,,2,169,35,,14,,23,15,132,21,5,,,1,1,5,1,,,1,,
道後,2573,1237,1336,10,109,29,44,45,24,51,86,81,486,29,12,1,9,4,6,24,17,15,5,21,,2,52,38,,21,,12,11,70,2,,1,,1,1,4,8,4,,,1,
味生,2101,676,1425,3,20,9,17,91,46,62,33,30,27,547,94,31,104,31,17,24,19,19,19,27,,,48,3,,8,,3,5,64,3,1,1,,2,2,2,7,6,,,,
生石,1437,470,967,3,9,7,18,86,28,24,13,16,6,82,345,69,17,4,5,27,3,4,2,63,,,22,2,2,12,,7,4,60,3,,1,,,5,9,6,3,,,,
垣生,769,270,499,4,6,2,11,27,14,6,4,16,8,29,35,201,12,1,1,12,2,3,3,39,,,12,,,7,,1,2,26,9,,,,,,1,1,3,,1,,
宮前,983,349,634,2,11,5,10,24,18,34,14,7,2,76,12,8,208,32,37,57,6,5,3,6,,,9,1,,2,1,2,1,23,3,,1,,,,8,2,,,3,,1
三津浜,416,152,264,1,3,3,8,9,7,17,9,6,5,34,3,4,36,56,10,8,2,7,1,6,,,6,2,,3,,,,9,2,,,,,,2,4,1,,,,
高浜,361,112,249,2,1,1,3,10,1,12,6,2,4,20,3,1,49,5,59,23,3,3,5,1,,,8,,,2,,1,1,12,,,,,,,6,,4,1,,,
久枝,1759,597,1162,1,17,15,20,28,22,70,102,16,29,42,33,14,34,5,4,395,81,53,34,26,,,19,6,,15,1,4,9,43,7,,,3,2,,6,5,1,,,,
潮見,969,270,699,1,3,4,16,22,16,21,45,19,28,18,11,,8,2,5,115,189,29,29,10,,,37,,,10,,10,3,14,2,,,,2,1,5,16,8,,,,
和気,704,213,491,4,5,4,8,12,7,20,30,19,9,17,13,3,28,3,6,54,19,115,45,5,,,8,3,,4,,10,6,16,,,,1,,,4,4,7,,,2,
堀江,639,197,442,,3,1,5,12,1,23,13,5,14,22,13,5,8,,2,20,22,49,158,6,,,5,5,,4,,,,13,3,,,,7,1,4,4,12,,2,,
余土,1845,675,1170,6,9,14,25,113,18,33,22,24,19,67,67,63,3,5,9,24,8,5,3,436,,,24,10,,9,,9,2,129,5,3,,,,,3,,1,,1,1,
