名称,所在地,緯度,経度
向陽第２公園,下伊台町489番102,33.87519538,132.8096399
小坂公園,小坂５丁目３０６－３,33.82526269,132.7811346
ことひら公園,高浜町４丁目乙７４,33.88678425,132.7031943
五楽公園,平井町甲５４１－１,33.81652711,132.8329482
権現公園,権現町甲１６２番地１ 他,33.90120463,132.7637436
幸町公園,千舟町７丁目６－７,33.83780147,132.7552159
さくら野緑地,石風呂町甲2121-110,33.87160288,132.7166722
佐倉緑地,柳原　１１－２０,33.95306164,132.7705271
三町三角公園,三町３丁目８５番２,33.82387461,132.7978749
三百地公園,平田町1454,33.88858566,132.7495124
三福公園,三町３丁目１６９番３０外,33.82358763,132.7937334
三本柳公園（清住公園）,清住１丁目８－４,33.85436104,132.7188739
シーサイドハイツ緑地,久保　４０９－４外,33.94011626,132.7649719
汐風ハイツ緑地,河野中須賀283-27外,33.94902608,132.769097
しおさい公園,和気町2丁目1045-101,33.89938496,132.7316868
重信川緑地,松山市・東温市・松前町･砥部町,33.78749213,132.7907871
東雲公園,東雲町7-2,33.84579192,132.773642
清水公園,清水町２丁目７－２ 他,33.85012403,132.762928
正円寺公園,正円寺３丁目５４－４地内,33.83817632,132.8003308
杖ノ淵公園,南高井町１３５２　他　,33.79176518,132.8113215
浄土寺公園,鷹子町３３３－１ 他,33.81790849,132.8081162
浄瑠璃公園,浄瑠璃町甲１０４０－４,33.75518526,132.8196806
城山公園,堀之内･丸之内地内,33.84183964,132.7618532
新開公園,北条辻９６１－１,33.9640824,132.7746549
新開浜公園,北条辻１２７８,33.96584263,132.7719762
新開緑地公園,北条辻 637-27,33.96736268,132.7761065
新浜公園,新浜町１１４５番４　　他,33.87361263,132.7138209
住吉公園,西垣生町１３６９－１,33.81057158,132.6992291
すみれ公園,会津町１６－１６,33.86364074,132.7281127
すみれ野北公園,石風呂町５７９,33.87814316,132.7157517
すみれ野南公園,石風呂町２３０－１,33.87328608,132.7179516
すみれ野南第二緑地,石風呂町地内,33.87363663,132.7181067
清和公園,太山寺町２２４４,33.8923904,132.7222241
太山寺カシの木公園,太山寺町２229番3,33.89217567,132.7247179
太衛門公園,勝岡町１８１,33.89886414,132.7281315
たかい公園,高井町１１０５番地 他,33.79526906,132.8123523
高岡第一公園,高岡町８３５－１,33.83171865,132.7141246
高岡中央公園,高岡町５８２番５ 他,33.83193919,132.721089
高岡みなみ公園,高岡町４６－１,33.82602168,132.7244425
高岡宮前公園,高岡町871番12   他,33.83054971,132.7115855
高崎公園,山越６丁目１３－１,33.85687986,132.75101
高縄緑地,苞木 甲175-23,33.94036695,132.7758328
たかの夢公園,高野町甲７６－４,33.8548552,132.8115753
高浜公園,高浜町６丁目２２５５－１,33.89531082,132.7077185
高浜横山緑地,高浜１丁目乙６５,33.87807269,132.7014322
太尺寺公園,北梅本町甲２５,33.80566103,132.8570611
太山寺小山公園,太山寺町１３５５,33.88825089,132.7272741
太山寺本村公園,太山寺町１５８７番地１ 他,33.88266514,132.7225348
たつみ公園,辰巳町２８５８番８他,33.86669199,132.7191299
谷町公園,谷町甲２３６,33.88195326,132.7543385
太郎丸公園,問屋町３３４番地３７,33.86336253,132.7491207
中央一丁目公園,中央一丁目74番5,33.85425756,132.7512435
丁地公園,山越５丁目１０－３,33.86031373,132.750793
辻団地南緑地,北条辻　１１１５－１４,33.96124535,132.7754079
辻団地緑地,北条辻　８４２－３,33.96479319,132.7762495
津田公園,北斎院町８１０－１,33.84118812,132.718971
津田団地西公園　　　,北斎院町,33.83998677,132.7169875
津田団地花公園　　　,北斎院町,33.84122106,132.7214803
常竹みんなの公園,常竹 甲126-4,33.93433558,132.7770897
椿公園,居相町２７４－４,33.80883288,132.7719839
椿団地緑地,柳原　523-6外,33.95644893,132.7714763
津吉公園,津吉町乙１５,33.77209212,132.8399291
津吉さくら公園,津吉町575番1,33.7715809,132.8327902
鶴ヶ丘公園,南吉田町５２７－３,33.82240853,132.7145741
土居公園,土居町１０２６番１ 他,33.79844485,132.7902904
土居田公園,土居田町４２３,33.82415132,132.7459895
土居田はなまる公園,土居田町685-1,33.82524447,132.7413953
土居田本村公園,土居田町５８１番２,33.82031876,132.7440314
土居団地公園,土居町６５１番地５６,33.7980213,132.7906388
道後公園,道後公園地内,33.84841401,132.7867869
泊しおかぜ公園,泊町618-7外,33.88185667,132.680538
泊公園,泊町５３３－１,33.8791102,132.6826433
富久公園,富久町３０２番５ 他,33.82342473,132.7280577
ともくに公園,馬木町2250,33.89150384,132.7458268
中須賀公園,中須賀１丁目１１,33.86462437,132.7238424
中筋公園,福角町１５５３,33.9021263,132.7546775
中津公園,北斎院町４６９－１,33.83738831,132.7251528
中津東公園,北斎院町乙７番地２ 他,33.83810462,132.7333078
中通みんなの広場公園,中通甲312-1外5,33.97808172,132.7896564
中野公園,中野町甲３０７,33.77901017,132.828574
なかのちょう公園,馬木町2142,33.89324308,132.7471994
中村公園,中村３丁目３６７－１,33.8316059,132.7757625
夏目団地緑地,夏目 24-2,33.94433579,132.774177
西石井公園,西石井町３２５－１ 他,33.81499865,132.7705281
西須賀公園,須賀町１－１０,33.8576779,132.7175516
西長戸公園,西長戸町５５８,33.86639838,132.7368461
西長戸東公園,西長戸町１６３番地２ 他,33.86697869,132.7457908
西野公園,西野町甲４４１,33.76371668,132.8021568
西ノ下公園（柳原末広第一公園）,柳原９０１,33.95973333,132.7731403
西垣生公園,西垣生町１０６６－７,33.81620969,132.7035688
西山三角公園,北斎院町950番25  他,33.83954105,132.7234005
日分公園,山越１丁目５３１－１２,33.85683606,132.7584144
白山の杜公園,北井門町１０２番地　他,33.80593632,132.7790333
白水台北公園,白水台４丁目２２番７,33.87830988,132.7804291
白水台公園,白水台２丁目１２番６,33.8749865,132.7803043
白水台西公園,白水台６丁目２０番,33.87551062,132.7771821
白水台南公園,白水台５丁目２番１３,33.87178988,132.7785686
畑寺公園,畑寺１丁目５０８番1他,33.8318759,132.7998718
八白公園,溝辺町甲１３５,33.84746503,132.8069425
八反地公園,東垣生町７８２番地,33.81550922,132.7170647
花湯築公園（此花公園）,此花町1-4,33.84068258,132.7811951
