都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,医療機関の種類,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,URL,備考
382019,2000000907,愛媛県,松山市,のびのびこどもクリニック,ノビノビコドモクリニック,無床診療所,松山市衣山1-188,,33.8529305,132.7466039,,,,,,,,,,,,小児科,0,,
382019,2000000911,愛媛県,松山市,エヒメ健診協会　松山診療所,エヒメケンシンキョウカイ　マツヤマシンリョウショ,無床診療所,松山市湊町8-111-1,愛建ビル３０２号室,33.835027,132.752654,,,,,,,,,,,,内科,0,,
382019,2000000914,愛媛県,松山市,ローズペインクリニック,ローズペインクリニック,無床診療所,松山市空港通4-7ｰ2,,33.8289235,132.7349796,,,,,,,,,,,,ペインクリニック内科;麻酔科,0,,
382019,2000000916,愛媛県,松山市,東京青山クリニック　松山院,トウキョウアオヤマクリニックマツヤマイン,無床診療所,松山市千舟町5-2-1 ,栄信第３ビル２F,33.8365482,132.7638099,,,,,,,,,,,,形成外科;美容外科;皮膚科;,0,,
382019,2000000917,愛媛県,松山市,戸梶内科医院,トカジナイカイイン,無床診療所,松山市味酒町1-4-12,,33.8417152,132.7561426,,,,,,,,,,,,内科;循環器内科;呼吸器内科;消化器内科;,0,,
382019,2000000921,愛媛県,松山市,心療内科まつおかクリニック,シンリョウナイカマツオカクリニック,無床診療所,松山市湊町5-3-4,ＫＯ第２ビル１Ｆ,33.8362413,132.7613857,,,,,,,,,,,,心療内科;精神科;,0,,
382019,2000000922,愛媛県,松山市,立花クリニック,タチバナクリニック,無床診療所,松山市立花3-3ｰ25,,33.8262079,132.7739079,,,,,,,,,,,,内科;外科;消化器内科;肛門外科;美容皮膚科;麻酔科;,0,,
382019,2000000923,愛媛県,松山市,城北耳鼻咽喉科,ジョウホクジビインコウカ,無床診療所,松山市木屋町3-11-4,,33.8533749,132.7598636,,,,,,,,,,,,耳鼻咽喉科;,0,,
382019,2000000928,愛媛県,松山市,特別養護老人ホーム愛寿荘医務室,トクベツヨウゴロウジンホームアイジュソウイムシツ,無床診療所,松山市来住町1171-1,,33.8093682,132.7974928,,,,,,,,,,,,内科;精神科,0,,
382019,2000000930,愛媛県,松山市,前野整形外科,マエノセイケイゲカ,有床診療所,松山市小坂5-11ｰ1,,33.8258683,132.7830236,,,,,,,,,,,,整形外科;リハビリテーション科;消化器外科（内視鏡）,19,,
382019,2000000935,愛媛県,松山市,メンズライフクリニック松山院,メンズライフクリニックマツヤマイン,無床診療所,松山市千舟町5-1ｰ6,三宅ビル５階北,33.8366118,132.7645786,,,,,,,,,,,,形成外科;泌尿器科,0,,
382019,2000000937,愛媛県,松山市,さくらめんと耳鼻咽喉科,サクラメントジビインコウカ,無床診療所,松山市南江戸3-1-60,,33.8357898,132.7462986,,,,,,,,,,,,耳鼻咽喉科,0,,
382019,2000000939,愛媛県,松山市,こうの内科クリニック,コウノナイカクリニック,無床診療所,松山市余戸西6-10ｰ50,,33.8181104,132.725899,,,,,,,,,,,,内科;消化器内科;リウマチ科;感染症内科,0,,
382019,2000000940,愛媛県,松山市,こうの耳鼻咽喉科,コウノジビインコウカ,無床診療所,松山市富久町115-6,,33.8212815,132.73214,,,,,,,,,,,,耳鼻咽喉科,0,,
382019,2000000943,愛媛県,松山市,どい消化器内科クリニック,ドイショウカキナイカクリニック,無床診療所,松山市北斎院町455-5,,33.837429,132.7275681,,,,,,,,,,,,内科;消化器内科内視鏡内科,0,,
382019,2000000944,愛媛県,松山市,十亀皮膚科,ソガメヒフカ,無床診療所,松山市道後町1-6ｰ30,,33.8498928,132.7848475,,,,,,,,,,,,皮膚科,0,,
382019,2000000947,愛媛県,松山市,大手町クリニック,オオテマチクリニック,無床診療所,松山市大手町1-4-1,,33.8392678,132.7567339,,,,,,,,,,,,内科;消化器内科,0,,
382019,2000000948,愛媛県,松山市,おおつか循環器・内科クリニック,オオツカジュンカンキ・ナイカクリニック,無床診療所,松山市樽味4-2ｰ25,,33.8386817,132.7895671,,,,,,,,,,,,循環器内科;内科,0,,
382019,2000000949,愛媛県,松山市,はしもと脳神経外科,ハシモトノウシンケイゲカ,無床診療所,松山市馬木町2230-1,,33.8920094,132.7452637,,,,,,,,,,,,脳神経外科,0,,
382019,2000000950,愛媛県,松山市,うめおか神経クリニック,ウメオカシンケイクリニック,無床診療所,松山市二番町3-8-21,久保豊二番町ビル２階,33.8392636,132.7696972,,,,,,,,,,,,脳神経外科;精神科,0,,
382019,2000000952,愛媛県,松山市,みかんの里診療所,ミカンノサトシンリョウジョ,無床診療所,松山市志津川町200,,33.8781082,132.7479203,,,,,,,,,,,,内科,0,,
382019,2000000953,愛媛県,松山市,特別養護老人ホームさくら医務室,トクベツヨウゴロウジンホームサクライムシツ,無床診療所,松山市古三津4-638,特別養護老人ホームさくら内,33.8549994,132.7338766,,,,,,,,,,,,内科,0,,
382019,2000000954,愛媛県,松山市,たかのこみどり眼科クリニック,タカノコミドリガンカクリニック,無床診療所,松山市鷹子町236ｰ1,,33.8095176,132.8138182,,,,,,,,,,,,眼科,0,,
382019,2000000955,愛媛県,松山市,福本外科クリニック,フクモトゲカクリニック,無床診療所,松山市竹原町1-2-2,,33.8321451,132.7549182,,,,,,,,,,,,外科;消化器外科;胃腸外科,0,,
382019,2000000956,愛媛県,松山市,せきかわ皮ふ科,セキカワヒフカ,無床診療所,松山市平和通5-2-12,,33.8474181,132.7604782,,,,,,,,,,,,皮膚科,0,,
382019,2000000958,愛媛県,松山市,地域密着型介護老人福祉施設　ハピネスさや家　医務室,チイキミッチャクガタカイゴロウジンフクシシセツ　ハピネスサヤカ　イムシツ,無床診療所,松山市南斎院町1385-1,,33.8317361,132.7265649,,,,,,,,,,,,内科,0,,
