,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,mean
generation_0,0.10342144966125488,0.23219585418701172,0.37009549140930176,0.8056333065032959,1.130129337310791,0.5282950878143311
generation_1,0.3107914924621582,0.25850963592529297,0.6671628952026367,0.8593688011169434,1.61578369140625,0.7423233032226563
generation_2,0.20057177543640137,0.5041954517364502,0.6372847557067871,1.095651388168335,2.1897411346435547,0.9254889011383056
generation_3,0.20514559745788574,0.3442714214324951,0.9340190887451172,0.8822119235992432,3.577735424041748,1.188676691055298
generation_4,0.20789599418640137,0.3247871398925781,1.08176851272583,1.0625817775726318,6.719621658325195,1.8793310165405273
generation_5,0.19414067268371582,0.37950873374938965,1.5965096950531006,1.772542953491211,12.947813510894775,3.3781031131744386
generation_6,0.21996092796325684,0.2973005771636963,5.659442663192749,4.750610113143921,19.38849139213562,6.063161134719849
generation_7,0.20659899711608887,0.30443882942199707,11.054497003555298,1.2662982940673828,40.48988723754883,10.664344072341919
generation_8,0.3383491039276123,0.3772604465484619,21.83827805519104,3.6656715869903564,68.1878309249878,18.881478023529052
generation_9,0.3495595455169678,0.34974026679992676,30.28476333618164,5.988769054412842,57.290903091430664,18.85274705886841
generation_10,0.24852514266967773,0.5293128490447998,27.278661251068115,5.361425399780273,29.25879955291748,12.53534483909607
generation_11,0.25102710723876953,0.6061053276062012,27.516777276992798,11.799874544143677,17.683314323425293,11.571419715881348
generation_12,0.24439144134521484,0.658043622970581,20.197042226791382,9.927523374557495,17.832081079483032,9.77181634902954
generation_13,0.25336527824401855,0.9403836727142334,18.751070737838745,17.84442687034607,18.267096519470215,11.211268615722656
generation_14,0.28502750396728516,1.445600986480713,10.189557075500488,18.06250762939453,9.958991765975952,7.988336992263794
generation_15,0.45235490798950195,2.072533130645752,1.6807842254638672,1.8954925537109375,10.153450012207031,3.250922966003418
generation_16,0.640911340713501,2.392009735107422,9.545544624328613,2.080980062484741,9.536878108978271,4.83926477432251
