accumulation,production
167.11177777777777,107.34198612862184
138.13766666666666,97.9390874523443
158.95144444444443,114.19258738083983
170.53222222222223,106.84226315185099
161.5851111111111,125.22570273265936
145.22477777777777,103.69291762009826
151.3226666666667,111.75460923211791
156.4523333333333,115.21838025515636
146.9161111111111,105.77268109736734
161.01344444444442,115.60301850727089
90.50333333333332,86.5721028242061
156.9291111111111,114.11359071212391
174.35211111111113,135.7303521907698
146.0028888888889,109.88757091347507
47.56244444444444,60.445400956939814
174.619,105.96127619273824
151.69466666666668,105.74952467410247
152.99455555555556,112.906661531861
146.98222222222222,106.10638098358206
162.08155555555555,114.56579394694563
145.7092222222222,106.72140316423165
159.53522222222222,107.90093495734256
164.7171111111111,111.38161439890511
169.73555555555555,108.30801447666363
144.85077777777775,100.44732940359054
160.68133333333333,113.2020799012378
155.02955555555556,106.01320496940968
141.35088888888887,104.79057471747849
156.9061111111111,116.66288021841044
157.98999999999998,117.09613659808726
107.054,87.58988485880006
8.534444444444443,36.12352523281671
149.57855555555554,110.15546088708042
147.8961111111111,112.72512607812266
130.75455555555556,105.09046037088703
147.2711111111111,104.28624575862095
148.7738888888889,117.94184353578252
163.73933333333332,118.72721686703082
166.79444444444445,125.25406577734564
158.69577777777778,120.39077468291607
164.46477777777778,117.16088714251208
163.36255555555556,127.69895532752102
155.52444444444444,107.74600330027309
170.30177777777777,116.50272649019713
159.10755555555556,107.32638168786134
183.08322222222222,107.08770434250822
149.25555555555556,110.57463774042117
176.2675555555556,126.92713936108284
142.00910112359549,104.21785477202654
155.19955555555555,114.71150421548195
153.13788888888888,111.83990376265602
156.42433333333332,114.86815285805325
143.7527777777778,101.61490342957345
142.50355555555555,114.63651434712693
27.05033333333333,46.421438040433095
137.52933333333334,114.92483384924137
159.275,113.7242813401993
155.14255555555556,103.58644931272704
144.39844444444446,106.76931157320128
144.813,108.44933199728321
160.34666666666666,110.1873577839225
146.92744444444446,114.966180568628
152.0448888888889,103.92600414476686
70.70344444444444,73.72216893917535
159.5001111111111,120.36987718508834
178.83488888888888,113.44320787971894
152.12233333333333,111.96869310955793
146.7133333333333,98.95164367988342
167.30266666666665,104.04869356521577
155.9317777777778,112.50075112003059
171.6931111111111,115.36304628657089
149.8122222222222,110.836558901343
139.10744444444447,110.18628745197759
146.44555555555556,112.36572323846127
154.41255555555557,109.26069761438443
155.07755555555553,102.90941046460654
157.98444444444442,118.01699750794836
144.14066666666668,110.48137053296288
184.505,124.00629094285952
152.81455555555556,126.81916180614328
