分類,名称,所在地,備考,X,Y
学校,南中学校,松山市東石井7丁目2-52, ,132.7756768,33.80771688
学校,久米中学校,松山市来住町689, ,132.8016509,33.80240007
学校,西中学校,松山市高岡町409, ,132.717764,33.82663883
学校,四国朝鮮初中級学校,松山市南斎院町乙50-22 , ,132.7337392,33.84317138
学校,内宮中学校,松山市内宮町569-1, ,132.749401,33.89320826
学校,日浦中学校,松山市河中町188-1, ,132.8711745,33.90160296
学校,興居島中学校,松山市泊町甲425-3, ,132.6708537,33.89394979
学校,中島中学校寄宿舎（青潮寮）,松山市長師562, ,132.6263498,33.96406691
学校,椿中学校,松山市市坪南1丁目1-20, ,132.7542243,33.80784658
学校,小野中学校,松山市平井町3690, ,132.8368013,33.8074955
学校,中島中学校,松山市長師817番地, ,132.6255246,33.9639662
学校,城西中学校,松山市竹原3丁目19-35, ,132.7483902,33.83432222
学校,愛光中学校,松山市衣山5丁目1610-1, ,132.7355379,33.84614244
学校,松山中央高等学校,松山市井門町1220 , ,132.7691799,33.80016665
学校,済美高等学校,松山市湊町7丁目9-1, ,132.7579322,33.83610065
学校,松山聖陵高等学校,松山市久万ﾉ台1112, ,132.7407342,33.85672899
学校,愛光高等学校,松山市衣山5丁目1610-1, ,132.7349885,33.84614233
学校,松山南高等学校,松山市末広町11-1, ,132.7627846,33.83385791
学校,北条高等学校,松山市北条辻600-1, ,132.7758734,33.97015239
学校,新田高等学校,松山市山西町663 , ,132.7255964,33.85173363
学校,聖カタリナ学園高等学校,松山市藤原町468, ,132.7627589,33.83459702
学校,松山工業高等学校,松山市真砂町1, ,132.7610332,33.83290996
学校,松山北高等学校中島分校,松山市中島大浦3100-1, ,132.6265466,33.97347793
学校,松山北高等学校,松山市文京町4-1, ,132.7683101,33.8499179
学校,愛媛大学附属高等学校,松山市樽味3丁目2-40, ,132.7943309,33.83919934
学校,松山商業高等学校,松山市旭町71, ,132.776244,33.83975663
学校,松山東雲高等学校,松山市大街道3丁目2-24 , ,132.7706103,33.84383379
学校,松山城南高等学校,松山市北久米町815, ,132.7898031,33.81584331
学校,松山東高等学校,松山市持田町2丁目2-12, ,132.7798954,33.84208894
学校,愛媛大学,松山市文京町3, ,132.7724342,33.8499573
学校,聖カタリナ大学,松山市北条660, ,132.7815813,33.97464585
学校,松山短期大学,松山市文京町4-2, ,132.7685038,33.85095936
学校,愛媛大学農学部,松山市樽味3丁目5-7, ,132.7923423,33.83935685
学校,愛媛大学農学部附属農場,松山市八反地498, ,132.7906469,33.96124825
学校,松山東雲女子大学,松山市桑原3丁目2-1, ,132.7963714,33.83265089
学校,聖カタリナセミナーハウス,松山市河野別府711 , ,132.7828263,33.95700143
学校,松山大学,松山市文京町4-2, ,132.7685133,33.85109724
学校,興居島小学校,松山市泊町甲425-3,,132.6710081,33.8938992
学校,中島小学校,松山市長師564,,132.6260346,33.96261694
