k,num_links,elapsed_time,max_memory_gb,memo,,k,num_links,elapsed_time,max_memory_gb
10,40,24.02052069,0.88028717,Success,,,,,
10,40,19.88074112,0.866924286,Success,,,,,
10,40,31.30823493,1.570274353,Success,,,,,
10,40,17.21187973,0.847049713,Success,,,,,
10,40,2.729991913,0.159633636,Success,,,,,
10,40,52.09063435,3.040592194,Success,,,,,
10,40,18.31358671,0.869762421,Success,,,,,
10,40,34.42940593,1.604095459,Success,,,,,
10,40,25.06928086,0.884273529,Success,,,,,
4,50,0.244439602,0.304618835,Success,,,,,
4,50,0.313696861,0.292686462,Success,,,,,
4,50,0.253161669,0.301681519,Success,,,,,
4,50,0.284365892,0.200214386,Success,,,,,
4,50,0.416402578,0.287410736,Success,,,,,
4,50,0.350388527,0.199363708,Success,,,,,
4,50,0.286145449,0.196620941,Success,,,,,
4,50,0.406233788,1.650981903,Success,,,,,
4,50,0.176057816,0.477916718,Success,,,,,
4,50,0.466675997,0.288600922,Success,,,,,
6,50,6.639648438,0.82000351,Success,,,,,
6,50,8.897369862,0.852134705,Success,,,,,
6,50,4.372932434,0.486022949,Success,,,,,
6,50,7.968520641,0.87059021,Success,,,,,
6,50,6.887692451,0.855548859,Success,,,,,
6,50,7.12392211,0.847248077,Success,,,,,
6,50,5.78561759,0.490379333,Success,,,,,
6,50,5.147921085,0.488494873,Success,,,,,
6,50,11.03584123,1.53465271,Success,,,,,
6,50,8.535115957,0.881893158,Success,,,,,
8,50,32.61371851,1.535961151,Success,,,,,
8,50,56.79484439,3.077278137,Success,,,,,
8,50,21.54291844,1.521324158,Success,,,,,
8,50,62.88453484,3.082027435,Success,,,,,
8,50,76.60066104,3.228431702,Success,,,,,
8,50,60.19675374,3.063045502,Success,,,,,
8,50,39.74053597,1.621482849,Success,,,,,
8,50,21.72410893,0.854724884,Success,,,,,
8,50,18.27219391,1.555400848,Success,,,,,
8,50,59.26480675,3.086151123,Success,,,,,
10,50,109.0622945,3.144622803,Success,,,,,
10,50,331.2365046,11.75143051,Success,,,,,
10,50,188.0780933,6.404563904,Success,,,,,
10,50,290.1393702,6.296356201,Success,,,,,
10,50,281.0147142,11.72268677,Success,,,,,
10,50,193.0406859,6.186946869,Success,,,,,
10,50,232.4677746,11.50839996,Success,,,,,
10,50,300.9718833,12.53254318,Success,,,,,
10,50,36.71916461,1.536338806,Success,,,,,
10,50,50.45250511,1.542156219,Success,,,,,
4,60,0.506667376,0.843791962,Success,,,,,
4,60,0.503219843,0.901420593,Success,,,,,
4,60,0.647034168,0.852043152,Success,,,,,
4,60,0.733234167,1.551113129,Success,,,,,
4,60,0.445645571,0.295192719,Success,,,,,
4,60,1.023864746,1.518344879,Success,,,,,
4,60,0.563478947,0.862586975,Success,,,,,
4,60,0.837961197,1.514392853,Success,,,,,
4,60,0.601324797,0.501487732,Success,,,,,
4,60,0.93909049,0.839103699,Success,,,,,
6,60,18.4626348,1.651760101,Success,,,,,
6,60,13.17247629,1.620159149,Success,,,,,
6,60,17.62560272,1.65612793,Success,,,,,
6,60,10.50757551,1.518779755,Success,,,,,
6,60,17.1246748,1.616893768,Success,,,,,
6,60,15.84400773,1.628948212,Success,,,,,
6,60,23.88358498,3.182991028,Success,,,,,
6,60,12.26589417,1.64434433,Success,,,,,
6,60,14.01703072,1.655223846,Success,,,,,
6,60,29.30122995,3.171310425,Success,,,,,
8,60,92.99191523,5.839084625,Success,,,,,
8,60,103.1986222,5.78685379,Success,,,,,
8,60,141.2588956,6.123226166,Success,,,,,
8,60,288.2191198,11.71097946,Success,,,,,
8,60,185.9778435,11.64747238,Success,,,,,
8,60,277.2807219,12.35580063,Success,,,,,
8,60,187.79496,11.43346786,Success,,,,,
8,60,155.1163793,6.287120819,Success,,,,,
