cluster,coef1,coef2,coef3
0,53.703920459865984,-17.57797509101166,2.002953286446786
1,1.192892248500101,-0.005725660782898851,8.759081991159198e-06
2,5.695285352173861,-0.1553923430233802,0.0011816367256964888
3,0.8965578992656286,-0.0034951571487611193,5.083488628249751e-06
4,3.9444030096666296,-0.053182143091996446,0.00027112378443008844
5,2.8148711610979036,-0.013974663046205097,2.0422424080488583e-05
6,1.2400286076778675,-0.00329561425123752,2.4330516969236875e-06
7,5.193740992121688,-0.03711772887102158,6.841338991800394e-05
8,3.0464238758487774,-0.04495348330361644,0.00024857748323831724
9,2.0801170538340723,-0.021061845297297804,7.601305197614885e-05
10,23.937690915272523,-3.0198917330701467,0.13506831952927012
11,4.325648312844191,-0.05023928957903402,0.0001598574151153026
12,26.218322737221282,-5.60352475886366,0.4200599404414138
13,2.1184164782534496,-0.008106945339533028,8.459158863518418e-06
14,1.6939373911177422,-0.01207629590113269,3.405154280577104e-05
