accumulation,fitted_production
0.0,0.0
56.357709288788925,800.8986337028405
112.71541857757785,1569.7394597426496
169.07312786636678,2307.014707722958
225.4308371551557,3013.2166072472983
281.7885464439446,3688.8373879192004
338.14625573273355,4334.369279342196
394.5039650215225,4950.304511119818
450.8616743103114,5537.135312855595
507.2193835991003,6095.353914153058
563.5770928878892,6625.4525446157395
619.9348021766782,7127.923433847173
676.2925114654671,7603.258811450884
732.650220754256,8051.950907030409
789.007930043045,8474.491950189278
845.3656393318339,8871.37417053102
901.7233486206228,9243.08979765917
958.0810579094117,9590.131061177253
1014.4387671982006,9912.990190688808
1070.7964764869896,10212.159415797361
1127.1541857757784,10488.130966106444
1183.5118950645674,10741.39707121959
1239.8696043533564,10972.44996074033
1296.2273136421452,11181.78186427219
1352.5850229309342,11369.885011418708
1408.9427322197232,11537.251631783412
1465.300441508512,11684.373954969837
1521.658150797301,11811.74421058151
1578.01586008609,11919.854628221963
1634.3735693748788,12009.197437494726
1690.7312786636678,12080.264868003329
1747.0889879524566,12133.549149351315
1803.4466972412456,12169.5425111422
1859.8044065300346,12188.73718297952
1916.1621158188234,12191.625394466808
1972.5198251076124,12178.699375207598
2028.8775343964012,12150.451354805416
2085.23524368519,12107.373562863799
2141.592952973979,12049.95822898627
2197.950662262768,11978.697582776367
2254.308371551557,11894.083853837614
2310.666080840346,11796.609271773554
2367.023790129135,11686.76606618771
2423.381499417924,11565.046466683621
2479.739208706713,11431.942702864799
2536.096917995502,11287.94700433479
2592.4546272842904,11133.55160069713
2648.8123365730794,10969.248721555343
2705.1700458618684,10795.530596512946
2761.5277551506574,10612.889455173497
2817.8854644394464,10421.817527140516
2874.243173728235,10222.80704201753
2930.600883017024,10016.35022940808
2986.958592305813,9802.939318915696
3043.316301594602,9583.066540143887
3099.674010883391,9357.224122696205
3156.03172017218,9125.904296176186
3212.3894294609686,8889.599290187341
3268.7471387497576,8648.801334333224
3325.1048480385466,8404.002658217347
3381.4625573273356,8155.695491443253
3437.8202666161246,7904.372063614482
3494.177975904913,7650.524604334545
3550.535685193702,7394.645343206967
3606.893394482491,7137.2265098352955
3663.25110377128,6878.760333823064
3719.608813060069,6619.739044773806
3775.966522348858,6360.654872291038
3832.324231637647,6102.000045978302
3888.681940926436,5844.266795439123
3945.039650215225,5587.947350277049
4001.397359504014,5333.533940095581
4057.7550687928024,5081.518794498277
4114.112778081591,4832.394143088662
4170.47048737038,4586.65221547026
4226.828196659169,4344.785241246597
4283.185905947958,4107.285450021215
4339.543615236747,3874.6450713976374
4395.901324525536,3647.356334979421
4452.259033814325,3425.91147037006
4508.616743103114,3210.8027071730958
4564.974452391903,3002.5222749920913
4621.332161680692,2801.5624034305342
4677.689870969481,2608.4153220919875
4734.04758025827,2423.5732605799612
4790.405289547059,2247.528448497981
4846.762998835848,2080.773115449642
4903.120708124637,1923.7994910383595
4959.478417413426,1777.0998048677845
5015.836126702215,1641.166286541356
5072.193835991004,1516.4911656626537
5128.551545279792,1403.5666718351952
5184.909254568581,1302.885034662529
5241.26696385737,1214.9384837481416
5297.624673146159,1140.219248695659
5353.982382434948,1079.2195591085056
5410.340091723737,1032.4316445902298
5466.697801012526,1000.3477347444268
5523.055510301315,983.4600591745675
5579.413219590104,982.260847484247
