accumulation,production
335.94386666666674,8707.589372400002
377.352,9124.289770800002
456.2520333333333,8631.3035124
351.63676666666674,8438.732834400002
340.71590000000003,8426.473982399999
381.0380333333334,8481.340711200002
418.9766333333334,9025.493917200001
447.9719666666667,9374.223873600002
361.97006666666664,8629.625682000002
357.64216666666664,8119.0670292
87.91616666666665,2355.9105036
438.1258,9067.4870604
364.9235,8541.6047928
388.9520666666667,9448.9652952
354.21543333333335,8282.095040400001
345.06960000000004,8319.4564992
381.14419999999996,9731.50509
448.0448333333334,8502.4041684
272.48026666666664,7281.515978400001
348.08526666666666,8904.3289896
452.63033333333334,9196.943630400001
371.7848666666667,8398.5166788
376.55989999999997,9015.196644
776.9725666666668,16401.1631424
1338.8199666666667,14716.173573600003
2938.2891666666665,12712.821955200001
809.9341666666668,15383.7775812
1183.7226,15259.2203208
2104.663,13988.903748000002
2366.0151,13358.157207600001
2648.343366666667,14368.683028800002
845.6902,15165.408177600002
1250.0273666666667,14759.1888024
186.24383333333333,4948.4527776
3615.1378333333337,6943.4959704
1037.9738,14899.7958588
1885.1157000000003,14933.403854400001
1523.4544666666666,15073.907499600002
681.1656666666668,14077.888479600002
875.1327666666667,15591.191272800002
3293.3620333333333,9294.2759112
519.7145666666667,12429.755283600001
1118.5618333333332,16176.4415076
3882.6009,7298.784489600001
1708.062566666667,14384.233389600002
917.1945666666668,15041.267914800002
440.2017000000001,10852.594977600002
933.8002333333334,12244.9502172
2288.8200333333334,9729.405426000001
468.0534333333333,10979.7206796
711.7631000000001,11081.584578000002
1596.1788666666666,12587.0189484
1826.1751666666669,11530.4410872
2058.759666666667,10803.6623244
492.65346666666665,10873.035831600002
808.0893666666667,10659.3329376
133.23413333333332,3654.380786400001
2717.3304000000003,8685.778435200002
584.5054,11236.4846784
1365.5738666666668,12376.134148800003
1066.5917333333334,12737.897288400003
443.18899999999996,10421.464138800002
524.6192333333333,11912.8009332
2492.8733333333334,9207.281130000001
348.6677666666667,8999.1205152
648.7583,12327.4887732
2973.9946333333337,7088.2139628
1167.7270333333333,11645.513089200002
546.1829,11766.175122000002
326.1177333333334,8537.969803200001
355.7049,9105.11124
714.827,12420.0070032
321.13283333333334,8093.113222800001
375.3666333333333,9211.905684000001
482.4764,10675.329205200002
526.9771666666667,10636.764590400002
605.6025666666667,12425.455786800001
335.07460000000003,8009.692982400001
377.6143333333334,8843.8443444
105.69543333333331,2794.0681284
1049.2689333333333,12438.423932400003
364.8398,8426.281842
469.7101666666667,10749.6224832
360.2975333333334,8787.123714000001
316.07976666666667,7656.5724084
348.4490666666667,8814.943192800001
867.1314000000001,12203.801540400002
277.45736666666664,7116.711886800002
374.89650000000006,9305.57271
1245.7691333333335,11556.477956400002
432.3948333333334,9785.480253599999
355.3764,8622.3127284
